method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Reweigh,22,g2,125,36738,0.904,0.47473404255319146,0.44988714476604946,0.341179,0.10870814476604945
Reweigh,22,g3,200,36738,0.72,0.5349510229064662,0.5914730187878012,0.597641,-0.006167981212198748
Reweigh,33,g0,305,36738,0.7475409836065574,0.7396577734829035,0.6203950874627868,0.468332,0.1520630874627868
Reweigh,33,g1,295,36738,0.7694915254237288,0.7366297247643998,0.6461799002177971,0.498132,0.14804790021779712
Reweigh,33,g2,125,36738,0.912,0.4769503546099291,0.6323493196770327,0.341179,0.29117031967703266
Reweigh,33,g3,200,36738,0.73,0.5494945760051259,0.7759973081990483,0.597641,0.17835630819904835
Reweigh,44,g0,305,36738,0.7540983606557377,0.7446563125248471,0.5189091674421463,0.468332,0.0505771674421463
Reweigh,44,g1,295,36738,0.7898305084745763,0.7685264094278793,0.522397829423327,0.498132,0.024265829423327
Reweigh,44,g2,125,36738,0.912,0.47695035460992913,0.3661469155608211,0.341179,0.024967915560821063
Reweigh,44,g3,200,36738,0.72,0.5634215478091942,0.6493780808523297,0.597641,0.05173708085232975
Reweigh,55,g0,305,36738,0.7704918032786885,0.7630718298112106,0.5052385727051201,0.468332,0.036906572705120044
Reweigh,55,g1,295,36738,0.8067796610169492,0.7794444452839461,0.5046358385139098,0.498132,0.006503838513909788
Reweigh,55,g2,125,36738,0.92,0.47916666666666674,0.4308374903604854,0.341179,0.0896584903604854
Reweigh,55,g3,200,36738,0.72,0.5516273041474654,0.6264145560003818,0.597641,0.028773556000381784
FlexMoE,42,g0,305,36170,0.7540983606557377,0.7474407119982529,0.6512802182377545,0.468332,0.18294821823775448
FlexMoE,42,g1,295,36170,0.7966101694915254,0.7605783796140979,0.5468419076030842,0.498132,0.048709907603084135
FlexMoE,42,g2,125,36170,0.896,0.47222222222222227,0.749394014485918,0.341179,0.408215014485918
FlexMoE,42,g3,200,36170,0.69,0.4495979642248299,0.691470485093887,0.597641,0.093829485093887
FlexMoE,1337,g0,305,36170,0.740983606557377,0.7358117040574186,0.8382896753963637,0.468332,0.36995767539636365
FlexMoE,1337,g1,295,36170,0.8135593220338984,0.7854363737736798,0.6295787276629896,0.498132,0.1314467276629896
FlexMoE,1337,g2,125,36170,0.92,0.47916666666666674,0.7326346101809885,0.341179,0.3914556101809885
FlexMoE,1337,g3,200,36170,0.71,0.5547655278640473,0.7168051288626157,0.597641,0.11916412886261574
