method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Shared_Anchors,7,g2,2338,11426,0.89692,0.47283,0.68143,0.28944,0.392
Shared_Anchors,2024,g0,533,11426,0.87992,0.46806,0.68757,0.2771,0.41047
Shared_Anchors,2024,g1,530,11426,0.9,0.47368,0.68728,0.29092,0.39636
Shared_Anchors,2024,g2,2338,11426,0.89692,0.47283,0.68732,0.28944,0.39788
Shared_Anchors,31337,g0,533,11426,0.87992,0.46806,0.69022,0.2771,0.41312
Shared_Anchors,31337,g1,530,11426,0.9,0.47368,0.69006,0.29092,0.39914
Shared_Anchors,31337,g2,2338,11426,0.89692,0.47283,0.69009,0.28944,0.40065
Shared_Anchors,11,g0,533,11426,0.87992,0.46806,0.6851,0.2771,0.408
Shared_Anchors,11,g1,530,11426,0.9,0.47368,0.68467,0.29092,0.39375
Shared_Anchors,11,g2,2338,11426,0.89692,0.47283,0.68474,0.28944,0.3953
Shared_Anchors,22,g0,533,11426,0.87992,0.46806,0.67671,0.2771,0.39961
Shared_Anchors,22,g1,530,11426,0.9,0.47368,0.67582,0.29092,0.3849
Shared_Anchors,22,g2,2338,11426,0.89692,0.47283,0.67596,0.28944,0.38652
Shared_Anchors,33,g0,533,11426,0.87992,0.46806,0.68211,0.2771,0.40501
Shared_Anchors,33,g1,530,11426,0.9,0.47368,0.68152,0.29092,0.3906
Shared_Anchors,33,g2,2338,11426,0.89692,0.47283,0.68161,0.28944,0.39217
Shared_Anchors,44,g0,533,11426,0.87992,0.46806,0.66857,0.2771,0.39147
Shared_Anchors,44,g1,530,11426,0.9,0.47368,0.66725,0.29092,0.37632
Shared_Anchors,44,g2,2338,11426,0.89692,0.47283,0.66745,0.28944,0.37801
Shared_Anchors,55,g0,533,11426,0.87992,0.46806,0.68788,0.2771,0.41078
Shared_Anchors,55,g1,530,11426,0.9,0.47368,0.6876,0.29092,0.39668
Shared_Anchors,55,g2,2338,11426,0.89692,0.47283,0.68764,0.28944,0.39821
AnchorsOnly,42,g0,533,30818,0.69794,0.58505,0.51448,0.2771,0.23738
AnchorsOnly,42,g1,530,30818,0.78868,0.53913,0.55449,0.29092,0.26357
AnchorsOnly,42,g2,2338,30818,0.70744,0.55716,0.60752,0.28944,0.31808
AnchorsOnly,1337,g0,533,30818,0.71295,0.60353,0.5759,0.2771,0.2988
AnchorsOnly,1337,g1,530,30818,0.80377,0.53796,0.61088,0.29092,0.31996
AnchorsOnly,1337,g2,2338,30818,0.70231,0.54734,0.57827,0.28944,0.28883
AnchorsOnly,7,g0,533,30818,0.69981,0.58873,0.52236,0.2771,0.24526
AnchorsOnly,7,g1,530,30818,0.78868,0.53347,0.53376,0.29092,0.24284
AnchorsOnly,7,g2,2338,30818,0.77288,0.59437,0.52663,0.28944,0.23719
AnchorsOnly,2024,g0,533,30818,0.69981,0.58873,0.52993,0.2771,0.25283
AnchorsOnly,2024,g1,530,30818,0.83208,0.56595,0.46663,0.29092,0.17571
AnchorsOnly,2024,g2,2338,30818,0.73054,0.5702,0.57406,0.28944,0.28462
AnchorsOnly,31337,g0,533,30818,0.68105,0.57632,0.58166,0.2771,0.30456
AnchorsOnly,31337,g1,530,30818,0.73774,0.55615,0.52347,0.29092,0.23255
AnchorsOnly,31337,g2,2338,30818,0.71215,0.56329,0.61518,0.28944,0.32574
AnchorsOnly,11,g0,533,30818,0.73546,0.61279,0.49648,0.2771,0.21938
AnchorsOnly,11,g1,530,30818,0.72075,0.52933,0.54558,0.29092,0.25465
AnchorsOnly,11,g2,2338,30818,0.71685,0.56411,0.61715,0.28944,0.32771
AnchorsOnly,22,g0,533,30818,0.72983,0.60817,0.51009,0.2771,0.23299
AnchorsOnly,22,g1,530,30818,0.84717,0.53172,0.54417,0.29092,0.25325
AnchorsOnly,22,g2,2338,30818,0.73567,0.57119,0.54797,0.28944,0.25853
AnchorsOnly,33,g0,533,30818,0.77298,0.60088,0.61795,0.2771,0.34085
AnchorsOnly,33,g1,530,30818,0.80377,0.51135,0.63718,0.29092,0.34625
AnchorsOnly,33,g2,2338,30818,0.66724,0.53164,0.6262,0.28944,0.33676
AnchorsOnly,44,g0,533,30818,0.66792,0.5663,0.54073,0.2771,0.26363
AnchorsOnly,44,g1,530,30818,0.72453,0.53942,0.51057,0.29092,0.21965
AnchorsOnly,44,g2,2338,30818,0.68435,0.54557,0.60655,0.28944,0.31711
AnchorsOnly,55,g0,533,30818,0.64916,0.56178,0.58414,0.2771,0.30704
AnchorsOnly,55,g1,530,30818,0.86792,0.52679,0.54453,0.29092,0.25361
AnchorsOnly,55,g2,2338,30818,0.71642,0.56379,0.57322,0.28944,0.28378
Shared_Anchors_GDRO,42,g0,533,11426,0.87992,0.46806,0.65225,0.2771,0.37515
Shared_Anchors_GDRO,42,g1,530,11426,0.9,0.47368,0.65001,0.29092,0.35908
Shared_Anchors_GDRO,42,g2,2338,11426,0.89692,0.47283,0.65035,0.28944,0.36091
Shared_Anchors_GDRO,1337,g0,533,11426,0.87992,0.46806,0.65192,0.2771,0.37482
Shared_Anchors_GDRO,1337,g1,530,11426,0.9,0.47368,0.64966,0.29092,0.35874
Shared_Anchors_GDRO,1337,g2,2338,11426,0.89692,0.47283,0.65001,0.28944,0.36057
Shared_Anchors_GDRO,7,g0,533,11426,0.87992,0.46806,0.64846,0.2771,0.37136
Shared_Anchors_GDRO,7,g1,530,11426,0.9,0.47368,0.646,0.29092,0.35507
Shared_Anchors_GDRO,7,g2,2338,11426,0.89692,0.47283,0.64637,0.28944,0.35694
Shared_Anchors_GDRO,2024,g0,533,11426,0.87992,0.46806,0.66373,0.2771,0.38663
Shared_Anchors_GDRO,2024,g1,530,11426,0.9,0.47368,0.66213,0.29092,0.37121
Shared_Anchors_GDRO,2024,g2,2338,11426,0.89692,0.47283,0.66238,0.28944,0.37294
Shared_Anchors_GDRO,31337,g0,533,11426,0.87992,0.46806,0.6525,0.2771,0.3754
Shared_Anchors_GDRO,31337,g1,530,11426,0.9,0.47368,0.65027,0.29092,0.35935
Shared_Anchors_GDRO,31337,g2,2338,11426,0.89692,0.47283,0.65062,0.28944,0.36118
Shared_Anchors_GDRO,11,g0,533,11426,0.87992,0.46806,0.65764,0.2771,0.38054
Shared_Anchors_GDRO,11,g1,530,11426,0.9,0.47368,0.6557,0.29092,0.36478
Shared_Anchors_GDRO,11,g2,2338,11426,0.89692,0.47283,0.656,0.28944,0.36656
Shared_Anchors_GDRO,22,g0,533,11426,0.87992,0.46806,0.64695,0.2771,0.36985
Shared_Anchors_GDRO,22,g1,530,11426,0.9,0.47368,0.6444,0.29092,0.35348
Shared_Anchors_GDRO,22,g2,2338,11426,0.89692,0.47283,0.64479,0.28944,0.35535
Shared_Anchors_GDRO,33,g0,533,11426,0.87992,0.46806,0.64402,0.2771,0.36692
Shared_Anchors_GDRO,33,g1,530,11426,0.9,0.47368,0.6413,0.29092,0.35038
Shared_Anchors_GDRO,33,g2,2338,11426,0.89692,0.47283,0.64172,0.28944,0.35228
Shared_Anchors_GDRO,44,g0,533,11426,0.87992,0.46806,0.64137,0.2771,0.36427
Shared_Anchors_GDRO,44,g1,530,11426,0.9,0.47368,0.6385,0.29092,0.34757
Shared_Anchors_GDRO,44,g2,2338,11426,0.89692,0.47283,0.63894,0.28944,0.3495
Shared_Anchors_GDRO,55,g0,533,11426,0.87992,0.46806,0.66661,0.2771,0.38951
Shared_Anchors_GDRO,55,g1,530,11426,0.9,0.47368,0.66518,0.29092,0.37426
Shared_Anchors_GDRO,55,g2,2338,11426,0.89692,0.47283,0.6654,0.28944,0.37596
Ours_GDRO,42,g0,533,30818,0.6848,0.57491,0.49007,0.2771,0.21297
Ours_GDRO,42,g1,530,30818,0.81887,0.53536,0.41944,0.29092,0.12851
Ours_GDRO,42,g2,2338,30818,0.73824,0.57753,0.54524,0.28944,0.2558
Ours_GDRO,1337,g0,533,30818,0.74859,0.62132,0.45113,0.2771,0.17403
Ours_GDRO,1337,g1,530,30818,0.75094,0.51417,0.50502,0.29092,0.2141
Ours_GDRO,1337,g2,2338,30818,0.74166,0.57652,0.53807,0.28944,0.24863
Ours_GDRO,7,g0,533,30818,0.71295,0.59688,0.48031,0.2771,0.20321
Ours_GDRO,7,g1,530,30818,0.83774,0.55668,0.49307,0.29092,0.20214
Ours_GDRO,7,g2,2338,30818,0.76305,0.59036,0.52348,0.28944,0.23404
Ours_GDRO,2024,g0,533,30818,0.73358,0.59871,0.63852,0.2771,0.36142
Ours_GDRO,2024,g1,530,30818,0.89623,0.47264,0.64548,0.29092,0.35456
Ours_GDRO,2024,g2,2338,30818,0.73995,0.55469,0.64621,0.28944,0.35677
