method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss,n_params
PerGroupOnly,7,g2,125.0,0.92,0.47916666666666674,0.33873443484306337,0.34118,-0.00244,38946
PerGroupOnly,7,g3,200.0,0.735,0.48955754344748653,0.6020650959014893,0.59764,0.00442,38946
PerGroupOnly,2024,g0,305.0,0.7639344262295082,0.7559068603969527,0.5205905032665736,0.46833,0.05226,38946
PerGroupOnly,2024,g1,295.0,0.7864406779661017,0.7441444475462179,0.5686565551790409,0.49813,0.07052,38946
PerGroupOnly,2024,g2,125.0,0.92,0.47916666666666674,0.41122018488589673,0.34118,0.07004,38946
PerGroupOnly,2024,g3,200.0,0.77,0.5451803226721634,0.7443685865605949,0.59764,0.14673,38946
PerGroupOnly,31337,g0,305.0,0.7770491803278688,0.7741144476273651,0.5605776054378157,0.46833,0.09225,38946
PerGroupOnly,31337,g1,295.0,0.8,0.7673630078361198,0.5207605586900234,0.49813,0.02263,38946
PerGroupOnly,31337,g2,125.0,0.912,0.47695035460992913,0.4109547140384093,0.34118,0.06978,38946
PerGroupOnly,31337,g3,200.0,0.74,0.48291316526610645,0.6686148019066604,0.59764,0.07097,38946
PerGroupOnly,11,g0,305.0,0.7737704918032787,0.7669654924887104,0.499548236247091,0.46833,0.03122,38946
PerGroupOnly,11,g1,295.0,0.8067796610169492,0.7759997775621245,0.5365673458945575,0.49813,0.03844,38946
PerGroupOnly,11,g2,125.0,0.92,0.47916666666666674,0.3918031939938664,0.34118,0.05062,38946
PerGroupOnly,11,g3,200.0,0.73,0.4829477866766002,0.6434578250348568,0.59764,0.04582,38946
PerGroupOnly,22,g0,305.0,0.8,0.7934634497707362,0.47772330325402196,0.46833,0.00939,38946
PerGroupOnly,22,g1,295.0,0.7966101694915254,0.7614027559928235,0.5159545291972868,0.49813,0.01782,38946
PerGroupOnly,22,g2,125.0,0.92,0.47916666666666674,0.3329875725507736,0.34118,-0.00819,38946
PerGroupOnly,22,g3,200.0,0.765,0.4838498245147862,0.5934999348688871,0.59764,-0.00414,38946
PerGroupOnly,33,g0,305.0,0.7934426229508197,0.7892621296394992,0.4825923451634704,0.46833,0.01426,38946
PerGroupOnly,33,g1,295.0,0.8,0.7675342272903248,0.49173038037399114,0.49813,-0.0064,38946
PerGroupOnly,33,g2,125.0,0.92,0.47916666666666674,0.3180197202563286,0.34118,-0.02316,38946
PerGroupOnly,33,g3,200.0,0.755,0.49059660925018567,0.5951611479558051,0.59764,-0.00248,38946
PerGroupOnly,44,g0,305.0,0.8,0.7932882709397195,0.4923926009201124,0.46833,0.02406,38946
PerGroupOnly,44,g1,295.0,0.7864406779661017,0.747588682255153,0.5123052466976441,0.49813,0.01417,38946
PerGroupOnly,44,g2,125.0,0.92,0.47916666666666674,0.34716678676754237,0.34118,0.00599,38946
PerGroupOnly,44,g3,200.0,0.735,0.524288260758849,0.6173328139074147,0.59764,0.01969,38946
PerGroupOnly,55,g0,305.0,0.7868852459016393,0.7810627966977787,0.4876318444360475,0.46833,0.0193,38946
PerGroupOnly,55,g1,295.0,0.8,0.7676123908967477,0.4972665025268571,0.49813,-0.00087,38946
PerGroupOnly,55,g2,125.0,0.92,0.47916666666666674,0.3248221974670887,0.34118,-0.01636,38946
PerGroupOnly,55,g3,200.0,0.755,0.4479954827780914,0.5814393247663975,0.59764,-0.0162,38946
Shared_GDRO,42,g0,305.0,0.7278688524590164,0.7212530531846263,0.550432993752546,0.46833,0.0821,11618
Shared_GDRO,42,g1,295.0,0.7457627118644068,0.7399615623316109,0.5588781611899198,0.49813,0.06075,11618
Shared_GDRO,42,g2,125.0,0.752,0.5633720930232559,0.5131133547127247,0.34118,0.17193,11618
Shared_GDRO,42,g3,200.0,0.74,0.6597038480287588,0.5764506202377379,0.59764,-0.02119,11618
Shared_GDRO,1337,g0,305.0,0.740983606557377,0.736599232090249,0.5626012865469227,0.46833,0.09427,11618
Shared_GDRO,1337,g1,295.0,0.7389830508474576,0.7332083064649987,0.5850623722598588,0.49813,0.08693,11618
Shared_GDRO,1337,g2,125.0,0.776,0.6111283643892339,0.5444360533319413,0.34118,0.20326,11618
Shared_GDRO,1337,g3,200.0,0.71,0.6221098062852435,0.6085454159649089,0.59764,0.0109,11618
Shared_GDRO,7,g0,305.0,0.7213114754098361,0.7200066016777898,0.5888919730121117,0.46833,0.12056,11618
Shared_GDRO,7,g1,295.0,0.7593220338983051,0.754664005928712,0.5542874455333577,0.49813,0.05616,11618
Shared_GDRO,7,g2,125.0,0.76,0.5899229811595098,0.5240495828650892,0.34118,0.18287,11618
Shared_GDRO,7,g3,200.0,0.72,0.6301537711708086,0.6559749537712196,0.59764,0.05833,11618
Shared_GDRO,2024,g0,305.0,0.7311475409836066,0.729695412639306,0.6638244268176676,0.46833,0.19549,11618
Shared_GDRO,2024,g1,295.0,0.7457627118644068,0.7427889941926071,0.5867304262480826,0.49813,0.0886,11618
Shared_GDRO,2024,g2,125.0,0.784,0.5993627834949445,0.4820810282891616,0.34118,0.1409,11618
Shared_GDRO,2024,g3,200.0,0.71,0.6099104572425257,0.6414324884156849,0.59764,0.04379,11618
Shared_GDRO,31337,g0,305.0,0.7278688524590164,0.7234583188454858,0.6065319360981954,0.46833,0.1382,11618
Shared_GDRO,31337,g1,295.0,0.7457627118644068,0.739339456626749,0.5428767459309202,0.49813,0.04474,11618
Shared_GDRO,31337,g2,125.0,0.768,0.5916979676905939,0.5730740525722504,0.34118,0.2319,11618
Shared_GDRO,31337,g3,200.0,0.745,0.6601103508610539,0.5860782415699214,0.59764,-0.01156,11618
Shared_GDRO,11,g0,305.0,0.7245901639344262,0.7228854336460568,0.5754231209515548,0.46833,0.10709,11618
Shared_GDRO,11,g1,295.0,0.7932203389830509,0.7877470977949099,0.5464762354553756,0.49813,0.04834,11618
Shared_GDRO,11,g2,125.0,0.76,0.5838037301451936,0.5293698382973671,0.34118,0.18819,11618
Shared_GDRO,11,g3,200.0,0.71,0.6441896021763323,0.6089806791953742,0.59764,0.01134,11618
Shared_GDRO,22,g0,305.0,0.6983606557377049,0.6966137991046953,0.634013198277165,0.46833,0.16568,11618
Shared_GDRO,22,g1,295.0,0.7728813559322034,0.7669854863089355,0.5781020778622005,0.49813,0.07997,11618
Shared_GDRO,22,g2,125.0,0.744,0.5662833967570213,0.561390877621714,0.34118,0.22021,11618
Shared_GDRO,22,g3,200.0,0.71,0.6233713850397048,0.6672003304557438,0.59764,0.06956,11618
Shared_GDRO,33,g0,305.0,0.7278688524590164,0.724732804508924,0.5612368762554204,0.46833,0.0929,11618
Shared_GDRO,33,g1,295.0,0.7661016949152543,0.7610096542227868,0.5437103152780209,0.49813,0.04558,11618
Shared_GDRO,33,g2,125.0,0.712,0.538463536891008,0.5480043449103832,0.34118,0.20683,11618
Shared_GDRO,33,g3,200.0,0.72,0.6333095424690253,0.601515866369009,0.59764,0.00387,11618
Shared_GDRO,44,g0,305.0,0.7442622950819672,0.7425216828168548,0.5810185948295183,0.46833,0.11269,11618
Shared_GDRO,44,g1,295.0,0.7593220338983051,0.7564853083960303,0.5708051184728994,0.49813,0.07267,11618
Shared_GDRO,44,g2,125.0,0.792,0.617777701909863,0.47965940380096433,0.34118,0.13848,11618
Shared_GDRO,44,g3,200.0,0.725,0.6269891429393155,0.5513433755934238,0.59764,-0.0463,11618
Shared_GDRO,55,g0,305.0,0.7180327868852459,0.7116821816330219,0.575106533018292,0.46833,0.10677,11618
Shared_GDRO,55,g1,295.0,0.735593220338983,0.7328826186734684,0.5863703243055586,0.49813,0.08824,11618
Shared_GDRO,55,g2,125.0,0.728,0.5160046907778049,0.5009880890250206,0.34118,0.15981,11618
Shared_GDRO,55,g3,200.0,0.735,0.6292334739753751,0.5674059968069196,0.59764,-0.03024,11618
Shared_Anchors,42,g0,305.0,0.7573770491803279,0.7514096913955662,0.5323769400598573,0.46833,0.06404,11618
Shared_Anchors,42,g1,295.0,0.8,0.7856643657862985,0.5094749768027815,0.49813,0.01134,11618
Shared_Anchors,42,g2,125.0,0.64,0.5066475325023501,0.7594282056987286,0.34118,0.41825,11618
Shared_Anchors,42,g3,200.0,0.655,0.6293799533799534,0.6821412659622729,0.59764,0.0845,11618
Shared_Anchors,1337,g0,305.0,0.7573770491803279,0.7538651167600513,0.5589523101767494,0.46833,0.09062,11618
Shared_Anchors,1337,g1,295.0,0.7864406779661017,0.7746700329166717,0.539488632325083,0.49813,0.04136,11618
Shared_Anchors,1337,g2,125.0,0.656,0.5312044308523581,0.7696645336057991,0.34118,0.42849,11618
Shared_Anchors,1337,g3,200.0,0.665,0.6253332432044209,0.6913535687886179,0.59764,0.09371,11618
Shared_Anchors,7,g0,305.0,0.7540983606557377,0.7510881904165486,0.5218745519605572,0.46833,0.05354,11618
Shared_Anchors,7,g1,295.0,0.8033898305084746,0.790233764934743,0.48845500467124126,0.49813,-0.00968,11618
Shared_Anchors,7,g2,125.0,0.64,0.5150209794946637,0.7533712649531662,0.34118,0.41219,11618
Shared_Anchors,7,g3,200.0,0.65,0.6124640348871582,0.6792150229308754,0.59764,0.08157,11618
Shared_Anchors,2024,g0,305.0,0.7540983606557377,0.7493756101144873,0.5198095936144962,0.46833,0.05148,11618
Shared_Anchors,2024,g1,295.0,0.8101694915254237,0.797764881049612,0.49899630687452096,0.49813,0.00086,11618
Shared_Anchors,2024,g2,125.0,0.656,0.5274636545496623,0.7741803923547268,0.34118,0.433,11618
Shared_Anchors,2024,g3,200.0,0.69,0.6533269862255895,0.698599493582733,0.59764,0.10096,11618
Shared_Anchors,31337,g0,305.0,0.740983606557377,0.7356947280465461,0.5424655531807879,0.46833,0.07413,11618
Shared_Anchors,31337,g1,295.0,0.8101694915254237,0.7989331604880411,0.5252633872441947,0.49813,0.02713,11618
Shared_Anchors,31337,g2,125.0,0.664,0.5350177583498961,0.7635891713295132,0.34118,0.42241,11618
Shared_Anchors,31337,g3,200.0,0.68,0.6373875949347646,0.6990790643985383,0.59764,0.10144,11618
Shared_Anchors,11,g0,305.0,0.7737704918032787,0.7698076343712867,0.5357267747007188,0.46833,0.06739,11618
Shared_Anchors,11,g1,295.0,0.8135593220338984,0.8012306795491032,0.4753952275267092,0.49813,-0.02274,11618
Shared_Anchors,11,g2,125.0,0.656,0.5281342554137616,0.774650626141578,0.34118,0.43347,11618
Shared_Anchors,11,g3,200.0,0.665,0.6294866168138058,0.6752585667883977,0.59764,0.07762,11618
Shared_Anchors,22,g0,305.0,0.7475409836065574,0.7449181374104086,0.5150156214436302,0.46833,0.04668,11618
Shared_Anchors,22,g1,295.0,0.8135593220338984,0.8014490452307492,0.4766435495498827,0.49813,-0.02149,11618
Shared_Anchors,22,g2,125.0,0.648,0.5211833542715896,0.7302118658721447,0.34118,0.38903,11618
Shared_Anchors,22,g3,200.0,0.665,0.6286551831082724,0.6729867693316192,0.59764,0.07535,11618
Shared_Anchors,33,g0,305.0,0.7442622950819672,0.7400020556874866,0.5122911667603939,0.46833,0.04396,11618
Shared_Anchors,33,g1,295.0,0.8271186440677966,0.8170312987117435,0.46918243998819487,0.49813,-0.02895,11618
Shared_Anchors,33,g2,125.0,0.648,0.5236505007365084,0.8334504439234733,0.34118,0.49227,11618
Shared_Anchors,33,g3,200.0,0.655,0.6126381766381767,0.7041833483614027,0.59764,0.10654,11618
Shared_Anchors,44,g0,305.0,0.7508196721311475,0.7494237865713095,0.5219446733685547,0.46833,0.05361,11618
Shared_Anchors,44,g1,295.0,0.8,0.790310061267364,0.4906510036249282,0.49813,-0.00748,11618
Shared_Anchors,44,g2,125.0,0.672,0.5398847051286076,0.7368220100253821,0.34118,0.39564,11618
Shared_Anchors,44,g3,200.0,0.69,0.6429187364359779,0.6829306283034384,0.59764,0.08529,11618
Shared_Anchors,55,g0,305.0,0.7540983606557377,0.7489577046195888,0.5266507391527784,0.46833,0.05832,11618
Shared_Anchors,55,g1,295.0,0.8,0.785561376529424,0.5196528341684301,0.49813,0.02152,11618
Shared_Anchors,55,g2,125.0,0.656,0.5263324057621045,0.7383912870250642,0.34118,0.39721,11618
Shared_Anchors,55,g3,200.0,0.65,0.6182087073608552,0.7091096467687749,0.59764,0.11147,11618
Shared_Anchors_GDRO,42,g0,305.0,0.7147540983606557,0.711677011989091,0.6000342521388999,0.46833,0.1317,11618
Shared_Anchors_GDRO,42,g1,295.0,0.7457627118644068,0.7397333025085887,0.591149932892709,0.49813,0.09302,11618
Shared_Anchors_GDRO,42,g2,125.0,0.744,0.559907129802195,0.5788550331182778,0.34118,0.23768,11618
Shared_Anchors_GDRO,42,g3,200.0,0.71,0.6341837948043587,0.6244590111146681,0.59764,0.02682,11618
Shared_Anchors_GDRO,1337,g0,305.0,0.740983606557377,0.7383875547853564,0.6724255968877648,0.46833,0.20409,11618
Shared_Anchors_GDRO,1337,g1,295.0,0.7728813559322034,0.7670369752667889,0.587806662344137,0.49813,0.08967,11618
Shared_Anchors_GDRO,1337,g2,125.0,0.768,0.6200798518170224,0.5325471896640956,0.34118,0.19137,11618
Shared_Anchors_GDRO,1337,g3,200.0,0.725,0.6581525887773817,0.6842788698775985,0.59764,0.08664,11618
Shared_Anchors_GDRO,7,g0,305.0,0.7311475409836066,0.7281009808997229,0.6496215639849666,0.46833,0.18129,11618
Shared_Anchors_GDRO,7,g1,295.0,0.752542372881356,0.7481705821013055,0.6092290880095403,0.49813,0.1111,11618
Shared_Anchors_GDRO,7,g2,125.0,0.776,0.617109634551495,0.5199640373978763,0.34118,0.17879,11618
Shared_Anchors_GDRO,7,g3,200.0,0.715,0.6155590899633749,0.6794466564175673,0.59764,0.08181,11618
Shared_Anchors_GDRO,2024,g0,305.0,0.7311475409836066,0.7294382662179204,0.6572147811378436,0.46833,0.18888,11618
Shared_Anchors_GDRO,2024,g1,295.0,0.7593220338983051,0.7557256597350938,0.6035060957997226,0.49813,0.10537,11618
Shared_Anchors_GDRO,2024,g2,125.0,0.768,0.5795122851560742,0.5130757777761901,0.34118,0.1719,11618
Shared_Anchors_GDRO,2024,g3,200.0,0.71,0.6321390336581949,0.6621723279271464,0.59764,0.06453,11618
Shared_Anchors_GDRO,31337,g0,305.0,0.7114754098360656,0.7090568669097923,0.6190793483472261,0.46833,0.15075,11618
Shared_Anchors_GDRO,31337,g1,295.0,0.7762711864406779,0.7709220253967908,0.5762128870744826,0.49813,0.07808,11618
Shared_Anchors_GDRO,31337,g2,125.0,0.728,0.565974565974566,0.49467939695715907,0.34118,0.1535,11618
Shared_Anchors_GDRO,31337,g3,200.0,0.725,0.6440541935134197,0.5839779612328857,0.59764,-0.01366,11618
Shared_Anchors_GDRO,11,g0,305.0,0.7114754098360656,0.7096968831477323,0.6515033659540483,0.46833,0.18317,11618
Shared_Anchors_GDRO,11,g1,295.0,0.8067796610169492,0.7998942243564091,0.5400848098604356,0.49813,0.04195,11618
Shared_Anchors_GDRO,11,g2,125.0,0.752,0.5803196803196803,0.5421827187091112,0.34118,0.201,11618
Shared_Anchors_GDRO,11,g3,200.0,0.71,0.6441338906876665,0.6456496696162504,0.59764,0.04801,11618
Shared_Anchors_GDRO,22,g0,305.0,0.6885245901639344,0.6841942979613375,0.6799315076458772,0.46833,0.2116,11618
Shared_Anchors_GDRO,22,g1,295.0,0.7423728813559322,0.7376214748235025,0.6520953975554745,0.49813,0.15396,11618
Shared_Anchors_GDRO,22,g2,125.0,0.776,0.5694972371801641,0.4530871942266822,0.34118,0.11191,11618
Shared_Anchors_GDRO,22,g3,200.0,0.715,0.6110639017463594,0.6178416929973173,0.59764,0.0202,11618
Shared_Anchors_GDRO,33,g0,305.0,0.7049180327868853,0.7007895299496096,0.6121326235596274,0.46833,0.1438,11618
Shared_Anchors_GDRO,33,g1,295.0,0.7457627118644068,0.7430126852551666,0.5999511056153451,0.49813,0.10182,11618
Shared_Anchors_GDRO,33,g2,125.0,0.712,0.5509181875035535,0.5049480657875538,0.34118,0.16377,11618
Shared_Anchors_GDRO,33,g3,200.0,0.72,0.6402836317165861,0.5753649211488664,0.59764,-0.02228,11618
Shared_Anchors_GDRO,44,g0,305.0,0.7311475409836066,0.7306956943423166,0.5908141620579314,0.46833,0.12248,11618
Shared_Anchors_GDRO,44,g1,295.0,0.7559322033898305,0.7506034301726237,0.5945991479239221,0.49813,0.09647,11618
Shared_Anchors_GDRO,44,g2,125.0,0.744,0.5734765234765234,0.4939980148822069,0.34118,0.15282,11618
Shared_Anchors_GDRO,44,g3,200.0,0.73,0.6574243598343503,0.574556392589584,0.59764,-0.02308,11618
Shared_Anchors_GDRO,55,g0,305.0,0.7114754098360656,0.7045116079862256,0.6208568146177491,0.46833,0.15252,11618
Shared_Anchors_GDRO,55,g1,295.0,0.7220338983050848,0.7192329523473439,0.6038193439149251,0.49813,0.10569,11618
Shared_Anchors_GDRO,55,g2,125.0,0.752,0.5375629113433992,0.5092378056049347,0.34118,0.16806,11618
Shared_Anchors_GDRO,55,g3,200.0,0.735,0.6435262572598535,0.5989143081894145,0.59764,0.00127,11618
GroupDRO,42,g0,305.0,0.780327868852459,0.7735257058103303,0.49675508157395926,0.46833,0.02842,38946
GroupDRO,42,g1,295.0,0.7898305084745763,0.75530062799759,0.5445823763481389,0.49813,0.04645,38946
GroupDRO,42,g2,125.0,0.912,0.47695035460992913,0.4277535502330866,0.34118,0.08657,38946
GroupDRO,42,g3,200.0,0.765,0.5138156190490427,0.6622957565044635,0.59764,0.06465,38946
GroupDRO,1337,g0,305.0,0.7672131147540984,0.7631204555273616,0.5083779564707495,0.46833,0.04005,38946
GroupDRO,1337,g1,295.0,0.8,0.7685587697737443,0.5409992933746869,0.49813,0.04287,38946
GroupDRO,1337,g2,125.0,0.912,0.5267691951896393,0.3460165057750419,0.34118,0.00484,38946
GroupDRO,1337,g3,200.0,0.755,0.5325149663769067,0.713801054864889,0.59764,0.11616,38946
GroupDRO,7,g0,305.0,0.7704918032786885,0.7671598526983107,0.5330918241414379,0.46833,0.06476,38946
GroupDRO,7,g1,295.0,0.8,0.7657544482865407,0.5110274746887765,0.49813,0.0129,38946
GroupDRO,7,g2,125.0,0.92,0.47916666666666674,0.30960994064062836,0.34118,-0.03157,38946
GroupDRO,7,g3,200.0,0.74,0.4883536710629031,0.5945561034046114,0.59764,-0.00308,38946
GroupDRO,2024,g0,305.0,0.7737704918032787,0.76693480686228,0.5185334549983963,0.46833,0.0502,38946
GroupDRO,2024,g1,295.0,0.7898305084745763,0.7520953842431272,0.5635491792515109,0.49813,0.06542,38946
GroupDRO,2024,g2,125.0,0.92,0.47916666666666674,0.4205821257567441,0.34118,0.0794,38946
GroupDRO,2024,g3,200.0,0.77,0.5375844402936724,0.8011914155534577,0.59764,0.20355,38946
GroupDRO,31337,g0,305.0,0.7704918032786885,0.7661788848569774,0.5069300151262127,0.46833,0.0386,38946
GroupDRO,31337,g1,295.0,0.8033898305084746,0.7707400458619971,0.5211441227692669,0.49813,0.02301,38946
GroupDRO,31337,g2,125.0,0.92,0.47916666666666674,0.3147549656182528,0.34118,-0.02642,38946
GroupDRO,31337,g3,200.0,0.76,0.49512516469038204,0.5921571305394173,0.59764,-0.00548,38946
GroupDRO,11,g0,305.0,0.7704918032786885,0.7664065243432628,0.5198307052437888,0.46833,0.0515,38946
GroupDRO,11,g1,295.0,0.7966101694915254,0.7639794303486804,0.5448290246523033,0.49813,0.0467,38946
GroupDRO,11,g2,125.0,0.92,0.47916666666666674,0.37082460283860563,0.34118,0.02965,38946
GroupDRO,11,g3,200.0,0.725,0.4683352674088649,0.647289069229737,0.59764,0.04965,38946
GroupDRO,22,g0,305.0,0.8032786885245902,0.7979872675882879,0.4863503266309128,0.46833,0.01802,38946
GroupDRO,22,g1,295.0,0.7898305084745763,0.7553795656964429,0.5124780083864422,0.49813,0.01435,38946
GroupDRO,22,g2,125.0,0.92,0.47916666666666674,0.32452332782372834,0.34118,-0.01666,38946
GroupDRO,22,g3,200.0,0.76,0.49181564703952757,0.6162970674573444,0.59764,0.01866,38946
GroupDRO,33,g0,305.0,0.7737704918032787,0.7691906427684118,0.5128750088945275,0.46833,0.04454,38946
GroupDRO,33,g1,295.0,0.8,0.7675342272903248,0.5196816312433299,0.49813,0.02155,38946
GroupDRO,33,g2,125.0,0.92,0.47916666666666674,0.30217504527419803,0.34118,-0.039,38946
GroupDRO,33,g3,200.0,0.765,0.4930171277997365,0.6013237620890141,0.59764,0.00368,38946
GroupDRO,44,g0,305.0,0.7901639344262295,0.7849622755832384,0.5019560257858429,0.46833,0.03362,38946
GroupDRO,44,g1,295.0,0.7830508474576271,0.7457826702235903,0.5297417876642134,0.49813,0.03161,38946
GroupDRO,44,g2,125.0,0.92,0.47916666666666674,0.37699751585070046,0.34118,0.03582,38946
GroupDRO,44,g3,200.0,0.745,0.5238715940921823,0.6430140864732675,0.59764,0.04537,38946
GroupDRO,55,g0,305.0,0.7868852459016393,0.7818040830298681,0.5076571153812721,0.46833,0.03933,38946
GroupDRO,55,g1,295.0,0.7932203389830509,0.7599589051215068,0.5049857022903733,0.49813,0.00685,38946
GroupDRO,55,g2,125.0,0.92,0.47916666666666674,0.29745366548001767,0.34118,-0.04373,38946
GroupDRO,55,g3,200.0,0.755,0.4479954827780914,0.5876302755437791,0.59764,-0.01001,38946
RegretDRO,42,g0,305.0,0.780327868852459,0.7735257058103303,0.4962503127372045,0.46833,0.02792,38946
RegretDRO,42,g1,295.0,0.7932203389830509,0.7585695987227012,0.5432840137979237,0.49813,0.04515,38946
RegretDRO,42,g2,125.0,0.912,0.47695035460992913,0.43310349140153265,0.34118,0.09192,38946
RegretDRO,42,g3,200.0,0.76,0.5095833865463976,0.6683820723020472,0.59764,0.07074,38946
RegretDRO,1337,g0,305.0,0.8065573770491803,0.8035737919351559,0.5034830339283484,0.46833,0.03515,38946
RegretDRO,1337,g1,295.0,0.8033898305084746,0.7723730116238227,0.5340791259718648,0.49813,0.03595,38946
RegretDRO,1337,g2,125.0,0.912,0.47695035460992913,0.4170501556061208,0.34118,0.07587,38946
RegretDRO,1337,g3,200.0,0.755,0.5573048376238804,0.6679907606294728,0.59764,0.07035,38946
RegretDRO,7,g0,305.0,0.7704918032786885,0.7671598526983107,0.5331210111191527,0.46833,0.06479,38946
RegretDRO,7,g1,295.0,0.8,0.7657544482865407,0.5153386191543886,0.49813,0.01721,38946
RegretDRO,7,g2,125.0,0.92,0.47916666666666674,0.31849434977397323,0.34118,-0.02268,38946
RegretDRO,7,g3,200.0,0.745,0.507777725269566,0.6026414514519274,0.59764,0.005,38946
RegretDRO,2024,g0,305.0,0.7737704918032787,0.76693480686228,0.5162705761556071,0.46833,0.04794,38946
