method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss,auroc,chosen_step,epoch
GroupDRO,31337,g0,533,30818,0.6322701573371887,0.5435367729306488,0.5497314929962158,0.2790879905223846,0.27064350247383123,0.7698227611940299,2.0,3
GroupDRO,31337,g1,530,30818,0.7169811129570007,0.5809084008097166,0.4707667529582977,0.2423949986696243,0.22837175428867337,0.7697480321189827,2.0,3
GroupDRO,31337,g2,2338,30818,0.7326775193214417,0.5944373315822092,0.4277382791042328,0.252005010843277,0.1757332682609558,0.8157474519022433,2.0,3
Independent,7,g0,533,35110,0.6116322875022888,0.5336123264219136,0.5980897545814514,0.2790879905223846,0.31900176405906683,0.7784514925373135,0.0,3
Independent,7,g1,530,35110,0.7641509175300598,0.6008531199730087,0.4136873185634613,0.2423949986696243,0.171292319893837,0.7659507139749219,0.0,3
Independent,7,g2,2338,35110,0.7219846248626709,0.5919001977526448,0.4459486305713653,0.252005010843277,0.19394361972808832,0.820741743292631,0.0,3
Independent,11,g0,533,35110,0.6491557359695435,0.5599300628286583,0.550145149230957,0.2790879905223846,0.27105715870857244,0.7892124200426439,0.0,1
Independent,11,g1,530,35110,0.698113203048706,0.5665419452452514,0.4806779325008392,0.2423949986696243,0.23828293383121488,0.7943910446580436,0.0,1
Independent,11,g2,2338,35110,0.7433704137802124,0.59733393038596,0.4435312151908874,0.252005010843277,0.19152620434761042,0.8121837756763762,0.0,1
Independent,22,g0,533,35110,0.6435272097587585,0.5499911126910771,0.5752994418144226,0.2790879905223846,0.296211451292038,0.7683568763326227,0.0,5
Independent,22,g1,530,35110,0.6962264180183411,0.5726555652936021,0.5257105827331543,0.2423949986696243,0.28331558406352997,0.765871603180254,0.0,5
Independent,22,g2,2338,35110,0.7095808386802673,0.5838809714971276,0.4663607478141784,0.252005010843277,0.21435573697090143,0.8200185208270262,0.0,5
Independent,33,g0,533,35110,0.6266416311264038,0.5430214773486138,0.5427200794219971,0.2790879905223846,0.2636320888996125,0.7803171641791045,0.0,2
Independent,33,g1,530,35110,0.699999988079071,0.5730548842582037,0.5241432189941406,0.2423949986696243,0.2817482203245163,0.769471144337645,0.0,2
Independent,33,g2,2338,35110,0.7100085616111755,0.5836514065085494,0.4501258134841919,0.252005010843277,0.19812080264091492,0.8105572671490787,0.0,2
Independent,42,g0,533,35110,0.6491557359695435,0.5599300628286583,0.5530833005905151,0.2790879905223846,0.27399531006813055,0.7791844349680171,0.0,2
Independent,42,g1,530,35110,0.7754716873168945,0.5889893190660211,0.3807519674301147,0.2423949986696243,0.1383569687604904,0.7675724852656145,0.0,2
Independent,42,g2,2338,35110,0.7651839256286621,0.618741280260485,0.4343774318695068,0.252005010843277,0.1823724210262298,0.8168891738246894,0.0,2
Independent,44,g0,533,35110,0.5759850144386292,0.5056876005383933,0.6511483788490295,0.2790879905223846,0.37206038832664495,0.7658248933901919,0.0,7
Independent,44,g1,530,35110,0.7188678979873657,0.5712323337622638,0.4719372391700744,0.2423949986696243,0.2295422405004501,0.7662276017562596,0.0,7
Independent,44,g2,2338,35110,0.7168520092964172,0.5889998162422713,0.4455038011074066,0.252005010843277,0.19349879026412964,0.8169524928914453,0.0,7
Independent,55,g0,533,35110,0.5872420072555542,0.5155826558265583,0.6331884860992432,0.2790879905223846,0.3541004955768586,0.7665911513859276,0.0,5
Independent,55,g1,530,35110,0.7415094375610352,0.5857366994722579,0.4509089291095733,0.2423949986696243,0.208513930439949,0.757564969740121,0.0,5
Independent,55,g2,2338,35110,0.6894781589508057,0.5732894502650179,0.4844027161598205,0.252005010843277,0.23239770531654352,0.8128189450647734,0.0,5
Independent,1337,g0,533,35110,0.6510319113731384,0.551590316977855,0.5624966621398926,0.2790879905223846,0.283408671617508,0.759761460554371,0.0,5
Independent,1337,g1,530,35110,0.6716980934143066,0.5543118946818999,0.5372330546379089,0.2423949986696243,0.2948380559682846,0.7366401645504529,0.0,5
Independent,1337,g2,2338,35110,0.7322497963905334,0.5965307312899103,0.4393661022186279,0.252005010843277,0.1873610913753509,0.8139903477997613,0.0,5
Independent,2024,g0,533,35110,0.6604127287864685,0.5585830439298477,0.5740816593170166,0.2790879905223846,0.294993668794632,0.7591950959488273,0.0,6
Independent,2024,g1,530,35110,0.7396226525306702,0.5779962611645779,0.4644955992698669,0.2423949986696243,0.2221006006002426,0.7563783078201021,0.0,6
Independent,2024,g2,2338,35110,0.7519246935844421,0.6094917206623469,0.4452101588249206,0.252005010843277,0.19320514798164362,0.8157217285313737,0.0,6
Independent,31337,g0,533,35110,0.6285178065299988,0.536969111969112,0.5972686409950256,0.2790879905223846,0.31818065047264105,0.7606942963752665,0.0,9
Independent,31337,g1,530,35110,0.7716981172561646,0.6038301158301158,0.5052183270454407,0.2423949986696243,0.26282332837581635,0.7477552312012974,0.0,9
Independent,31337,g2,2338,35110,0.7087253928184509,0.5792380355889943,0.4523155689239502,0.252005010843277,0.20031055808067322,0.8195277980596664,0.0,9
Ours_GDRO,7,g0,533,30818,0.602251410484314,0.5299823633156966,0.6350948810577393,0.2790879905223846,0.35600689053535467,0.7847481343283581,0.5,2
Ours_GDRO,7,g1,530,30818,0.7641509175300598,0.5975555677048214,0.3967349529266357,0.2423949986696243,0.15433995425701139,0.7992168031327874,0.5,2
Ours_GDRO,7,g2,2338,30818,0.7549187541007996,0.6081086259606966,0.421680599451065,0.252005010843277,0.16967558860778803,0.8084182699252241,0.5,2
Ours_GDRO,11,g0,533,30818,0.6135084629058838,0.5332670203359859,0.6651922464370728,0.2790879905223846,0.38610425591468817,0.7653917910447762,0.5,7
Ours_GDRO,11,g1,530,30818,0.7283018827438354,0.5784450188904354,0.477336436510086,0.2423949986696243,0.2349414378404617,0.7627467267908706,0.5,7
Ours_GDRO,11,g2,2338,30818,0.7399486899375916,0.5990396158463385,0.426645964384079,0.252005010843277,0.174640953540802,0.8139270287330054,0.5,7
Ours_GDRO,22,g0,533,30818,0.6191369891166687,0.5356525172415273,0.599454939365387,0.2790879905223846,0.3203669488430024,0.7712220149253731,0.5,5
Ours_GDRO,22,g1,530,30818,0.7547169923782349,0.5963111392345731,0.4257568418979645,0.2423949986696243,0.18336184322834018,0.788141291879277,0.5,5
Ours_GDRO,22,g2,2338,30818,0.7626176476478577,0.6165508518777363,0.4084884226322174,0.252005010843277,0.15648341178894043,0.8227026556412341,0.5,5
Ours_GDRO,33,g0,533,30818,0.5853658318519592,0.5108771929824562,0.6970275044441223,0.2790879905223846,0.4179395139217377,0.7783515458422176,0.5,5
Ours_GDRO,33,g1,530,30818,0.7188678979873657,0.5850214662189502,0.505257785320282,0.2423949986696243,0.26286278665065765,0.7687987025829675,0.5,5
