method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Shared_GDRO,44,g1,294,11618,0.72449,0.72264,0.67201,0.37567,0.29634
Shared_GDRO,44,g2,123,11618,0.70732,0.50633,0.50106,0.07576,0.42529
Shared_GDRO,44,g3,200,11618,0.715,0.60087,0.7188,0.42112,0.29768
Shared_GDRO,55,g0,303,11618,0.69307,0.68896,0.64109,0.38184,0.25925
Shared_GDRO,55,g1,294,11618,0.7551,0.75288,0.55474,0.37567,0.17906
Shared_GDRO,55,g2,123,11618,0.72358,0.5016,0.47379,0.07576,0.39803
Shared_GDRO,55,g3,200,11618,0.685,0.5861,0.65207,0.42112,0.23095
Shared_Anchors,42,g0,303,11618,0.70297,0.70115,0.62161,0.38184,0.23976
Shared_Anchors,42,g1,294,11618,0.7585,0.75444,0.55524,0.37567,0.17957
Shared_Anchors,42,g2,123,11618,0.68293,0.50064,0.53495,0.07576,0.45919
Shared_Anchors,42,g3,200,11618,0.645,0.5813,0.62494,0.42112,0.20382
Shared_Anchors,1337,g0,303,11618,0.66997,0.66232,0.63588,0.38184,0.25404
Shared_Anchors,1337,g1,294,11618,0.72789,0.72379,0.59887,0.37567,0.2232
Shared_Anchors,1337,g2,123,11618,0.72358,0.51823,0.58041,0.07576,0.50465
Shared_Anchors,1337,g3,200,11618,0.625,0.52703,0.68445,0.42112,0.26333
Shared_Anchors,7,g0,303,11618,0.70297,0.70128,0.58461,0.38184,0.20277
Shared_Anchors,7,g1,294,11618,0.7381,0.73483,0.54089,0.37567,0.16522
Shared_Anchors,7,g2,123,11618,0.6748,0.49419,0.55298,0.07576,0.47722
Shared_Anchors,7,g3,200,11618,0.675,0.61816,0.63009,0.42112,0.20897
Shared_Anchors,2024,g0,303,11618,0.70627,0.70309,0.59678,0.38184,0.21494
Shared_Anchors,2024,g1,294,11618,0.7381,0.73504,0.56439,0.37567,0.18872
Shared_Anchors,2024,g2,123,11618,0.76423,0.55204,0.52317,0.07576,0.44741
Shared_Anchors,2024,g3,200,11618,0.665,0.58693,0.66383,0.42112,0.24271
Shared_Anchors,31337,g0,303,11618,0.74257,0.74047,0.5809,0.38184,0.19906
Shared_Anchors,31337,g1,294,11618,0.77211,0.7678,0.55798,0.37567,0.1823
Shared_Anchors,31337,g2,123,11618,0.69919,0.54302,0.55323,0.07576,0.47747
Shared_Anchors,31337,g3,200,11618,0.675,0.60815,0.62155,0.42112,0.20043
Shared_Anchors,11,g0,303,11618,0.70957,0.70818,0.59181,0.38184,0.20997
Shared_Anchors,11,g1,294,11618,0.7551,0.75151,0.55786,0.37567,0.18218
Shared_Anchors,11,g2,123,11618,0.68293,0.49515,0.56009,0.07576,0.48433
Shared_Anchors,11,g3,200,11618,0.645,0.56238,0.64471,0.42112,0.22359
Shared_Anchors,22,g0,303,11618,0.69307,0.68885,0.66394,0.38184,0.2821
Shared_Anchors,22,g1,294,11618,0.7415,0.73712,0.58846,0.37567,0.21278
Shared_Anchors,22,g2,123,11618,0.71545,0.52202,0.58019,0.07576,0.50443
Shared_Anchors,22,g3,200,11618,0.7,0.61563,0.67123,0.42112,0.25011
Shared_Anchors,33,g0,303,11618,0.67327,0.66965,0.66042,0.38184,0.27858
