method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
FlexMoE,11,g2,2338,536354,0.718562874251497,0.5914832010383906,0.49681255699128085,0.264331,0.23248155699128087
FlexMoE,22,g0,533,536354,0.7110694183864915,0.5976372549019608,0.5658256970555459,0.306561,0.2592646970555459
FlexMoE,22,g1,530,536354,0.7566037735849057,0.588080419812145,0.491317770894224,0.270789,0.220528770894224
FlexMoE,22,g2,2338,536354,0.739093242087254,0.600214163975601,0.4697990274168137,0.264331,0.2054680274168137
FlexMoE,33,g0,533,536354,0.6754221388367729,0.5633816155197477,0.580027117842655,0.306561,0.27346611784265507
FlexMoE,33,g1,530,536354,0.7603773584905661,0.587690121346883,0.4572597414930297,0.270789,0.18647074149302972
FlexMoE,33,g2,2338,536354,0.7010265183917879,0.5772752280834627,0.5552823750956821,0.264331,0.29095137509568214
FlexMoE,44,g0,533,536354,0.8780487804878049,0.4675324675324675,0.6585553704462177,0.306561,0.35199437044621773
FlexMoE,44,g1,530,536354,0.8943396226415095,0.5475885616730687,0.6573866154787675,0.270789,0.38659761547876753
FlexMoE,44,g2,2338,536354,0.8532934131736527,0.5935629671939802,0.6589848695400946,0.264331,0.3946538695400946
FlexMoE,55,g0,533,536354,0.7035647279549718,0.5848745957883114,0.5307164269182214,0.306561,0.22415542691822143
FlexMoE,55,g1,530,536354,0.779245283018868,0.6067825414238517,0.4586292866123568,0.270789,0.1878402866123568
FlexMoE,55,g2,2338,536354,0.7172797262617622,0.5835147720636368,0.5245015374708574,0.264331,0.2601705374708574
REMIND,42,g0,533,52482,0.7335834896810507,0.5933483773909306,0.5097481973953928,0.306561,0.20318719739539282
REMIND,42,g1,530,52482,0.7905660377358491,0.5616603706104566,0.37604776651180555,0.270789,0.10525876651180555
REMIND,42,g2,2338,52482,0.760906757912746,0.6090973396801753,0.43483732515286205,0.264331,0.17050632515286207
REMIND,1337,g0,533,52482,0.6885553470919324,0.57101159768822,0.7270360639962378,0.306561,0.4204750639962378
REMIND,1337,g1,530,52482,0.7679245283018868,0.571172024549563,0.538756377657958,0.270789,0.26796737765795803
REMIND,1337,g2,2338,52482,0.7378100940975193,0.5935118179020618,0.5437423131527298,0.264331,0.2794113131527298
REMIND,7,g0,533,52482,0.7354596622889306,0.5975635224504002,0.6694313463983951,0.306561,0.3628703463983951
REMIND,7,g1,530,52482,0.7962264150943397,0.5660480349344977,0.5713922995992596,0.270789,0.30060329959925963
REMIND,7,g2,2338,52482,0.7502138579982891,0.5912587412587413,0.5269950642084265,0.264331,0.2626640642084265
REMIND,2024,g0,533,52482,0.7354596622889306,0.5975635224504002,0.707695377729064,0.306561,0.401134377729064
REMIND,2024,g1,530,52482,0.7924528301886793,0.547360248447205,0.6463267853696609,0.270789,0.3755377853696609
REMIND,2024,g2,2338,52482,0.7527801539777588,0.5989470372810531,0.5197562398500838,0.264331,0.2554252398500838
REMIND,31337,g0,533,52482,0.7354596622889306,0.5948472449095115,0.6174587069346514,0.306561,0.31089770693465146
REMIND,31337,g1,530,52482,0.7886792452830189,0.5602181128496918,0.5187869438981312,0.270789,0.24799794389813118
REMIND,31337,g2,2338,52482,0.7660393498716852,0.6019952428123239,0.4719075277434527,0.264331,0.2075765277434527
REMIND,11,g0,533,52482,0.6810506566604128,0.5606745277529963,0.5547212144346292,0.306561,0.2481602144346292
REMIND,11,g1,530,52482,0.7584905660377359,0.5516192994051553,0.4453060348757815,0.270789,0.17451703487578152
REMIND,11,g2,2338,52482,0.7194183062446535,0.5869600578250749,0.4986230667170171,0.264331,0.23429206671701713
REMIND,22,g0,533,52482,0.7523452157598499,0.5841057410384942,0.6383282175302772,0.306561,0.33176721753027727
REMIND,22,g1,530,52482,0.7943396226415095,0.5487388590756059,0.716209713715647,0.270789,0.445420713715647
REMIND,22,g2,2338,52482,0.7686056458511549,0.6018797164058135,0.4822145577858194,0.264331,0.21788355778581942
REMIND,33,g0,533,52482,0.7223264540337712,0.5761659144637867,0.7257360114820679,0.306561,0.4191750114820679
REMIND,33,g1,530,52482,0.8,0.5529348102877514,0.5515652711023197,0.270789,0.2807762711023197
REMIND,33,g2,2338,52482,0.7869974337040205,0.6230106719162825,0.4763540816242597,0.264331,0.2120230816242597
REMIND,44,g0,533,52482,0.6979362101313321,0.5757984705353125,0.6721930558780711,0.306561,0.3656320558780711
REMIND,44,g1,530,52482,0.7754716981132076,0.5770832355445883,0.599772443492844,0.270789,0.328983443492844
REMIND,44,g2,2338,52482,0.7331052181351583,0.5904054192154401,0.5234321126841912,0.264331,0.2591011126841912
REMIND,55,g0,533,52482,0.7523452157598499,0.5999044629452709,0.6575685129554806,0.306561,0.3510075129554806
REMIND,55,g1,530,52482,0.8226415094339623,0.5879239040529363,0.717704544645526,0.270789,0.446915544645526
REMIND,55,g2,2338,52482,0.7660393498716852,0.5974643343326802,0.5153190022716974,0.264331,0.2509880022716974
