method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
groupdro,1,g3,276228,128,0.6484375,0.4958587691800033,0.9430820941925049,0.7791703665225083,0.16391172766999662
groupdro,1,g4,276228,14665,0.7536993026733398,0.6686761742334911,0.5732182860374451,0.6238109850217399,0.0
groupdro,1,g5,276228,14,0.6428571939468384,0.36666666666666664,2.2743284702301025,1.2804544360968637,0.9938740341332388
groupdro,1,g6,276228,10579,0.75734943151474,0.6689096424220771,0.555652379989624,0.5871916648544888,0.0
ours,1,g1,276228,209,0.6985645890235901,0.4327013845185651,0.7054821252822876,0.6846005644225315,0.02088156085975612
ours,1,g2,276228,37,0.6216216087341309,0.28054298642533937,1.128246545791626,0.7652611750550569,0.3629853707365691
ours,1,g3,276228,128,0.6796875,0.5280749553476827,0.8701798319816589,0.7791703665225083,0.09100946545915067
ours,1,g4,276228,14665,0.7398568391799927,0.6320189471300866,0.6607590913772583,0.6238109850217399,0.03694810635551837
ours,1,g5,276228,14,0.5,0.2896825396825397,1.2567416429519653,1.2804544360968637,0.0
ours,1,g6,276228,10579,0.7522450089454651,0.6883058986515274,0.6401406526565552,0.5871916648544888,0.05294898780206636
align_only,1,g1,276228,209,0.6985645890235901,0.4327013845185651,0.7054821252822876,0.6846005644225315,0.02088156085975612
align_only,1,g2,276228,37,0.6216216087341309,0.28054298642533937,1.128246545791626,0.7652611750550569,0.3629853707365691
align_only,1,g3,276228,128,0.6796875,0.5280749553476827,0.8701798319816589,0.7791703665225083,0.09100946545915067
align_only,1,g4,276228,14665,0.7398568391799927,0.6320189471300866,0.6607590913772583,0.6238109850217399,0.03694810635551837
align_only,1,g5,276228,14,0.5,0.2896825396825397,1.2567416429519653,1.2804544360968637,0.0
align_only,1,g6,276228,10579,0.7522450089454651,0.6883058986515274,0.6401406526565552,0.5871916648544888,0.05294898780206636
groupdro,42,g1,276228,209,0.7224879860877991,0.5526020709265519,0.6400618553161621,0.6846005644225315,0.0
groupdro,42,g2,276228,37,0.5675675868988037,0.255,1.9070032835006714,0.7652611750550569,1.1417421084456145
groupdro,42,g3,276228,128,0.6640625,0.4882639958911145,1.0290091037750244,0.7791703665225083,0.24983873725251615
groupdro,42,g4,276228,14665,0.7491306066513062,0.6151009335192739,0.5789655447006226,0.6238109850217399,0.0
groupdro,42,g5,276228,14,0.7142857313156128,0.41428571428571426,2.237637758255005,1.2804544360968637,0.9571833221581412
groupdro,42,g6,276228,10579,0.7581056952476501,0.6943430563271784,0.5573890209197998,0.5871916648544888,0.0
ours,42,g1,276228,209,0.6889951825141907,0.38918432537004544,0.750914990901947,0.6846005644225315,0.06631442647941554
ours,42,g2,276228,37,0.5945945978164673,0.26522187822497423,1.1571978330612183,0.7652611750550569,0.3919366580061614
ours,42,g3,276228,128,0.578125,0.4273691961191961,0.9548944234848022,0.7791703665225083,0.17572405696229398
ours,42,g4,276228,14665,0.7342652678489685,0.5654226352376603,0.6701621413230896,0.6238109850217399,0.04635115630134967
ours,42,g5,276228,14,0.5714285969734192,0.325,1.1183651685714722,1.2804544360968637,0.0
ours,42,g6,276228,10579,0.743643045425415,0.6786030727111075,0.6626113653182983,0.5871916648544888,0.07541970046380952
align_only,42,g1,276228,209,0.7081339359283447,0.5547911949185834,0.7422212362289429,0.6846005644225315,0.057620671806411394
align_only,42,g2,276228,37,0.6216216087341309,0.2756410256410256,1.2722443342208862,0.7652611750550569,0.5069831591658294
align_only,42,g3,276228,128,0.609375,0.48811897640412094,0.9985811710357666,0.7791703665225083,0.21941080451325834
align_only,42,g4,276228,14665,0.7601091265678406,0.6493413109848597,0.5893558859825134,0.6238109850217399,0.0
align_only,42,g5,276228,14,0.5714285969734192,0.325,1.2106398344039917,1.2804544360968637,0.0
align_only,42,g6,276228,10579,0.7665185332298279,0.7068000292219516,0.5739683508872986,0.5871916648544888,0.0
