method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
FlexMoE,42,g1,295,537250,0.8033898305084746,0.7725536383352583,0.6451998578136365,0.420320,0.224880
FlexMoE,42,g2,125,537250,0.92,0.47916666666666674,0.9653934273521366,0.105100,0.860293
FlexMoE,42,g3,200,537250,0.73,0.4782021958141361,0.691865766979754,0.511216,0.180650
FlexMoE,1337,g0,305,537250,0.7704918032786885,0.7649174428629691,0.4993369604731895,0.377003,0.122334
FlexMoE,1337,g1,295,537250,0.7864406779661017,0.7516337395327146,0.5556594429790216,0.420320,0.135339
FlexMoE,1337,g2,125,537250,0.912,0.47695035460992913,0.49753491068827815,0.105100,0.392435
FlexMoE,1337,g3,200,537250,0.74,0.5516794945981733,0.5594045457383617,0.511216,0.048189
FlexMoE,7,g0,305,537250,0.7672131147540984,0.7621026094005444,0.6611340878976371,0.377003,0.284131
FlexMoE,7,g1,295,537250,0.8,0.7660127466398705,0.6189233274148753,0.420320,0.198603
FlexMoE,7,g2,125,537250,0.896,0.4724213691026827,0.8640634033710739,0.105100,0.758963
FlexMoE,7,g3,200,537250,0.69,0.4697356965174129,0.5992233477972332,0.511216,0.088007
FlexMoE,2024,g0,305,537250,0.7737704918032787,0.7643631074940762,0.5462642968686672,0.377003,0.169261
FlexMoE,2024,g1,295,537250,0.7932203389830509,0.7546065064472832,0.5306036069180217,0.420320,0.110284
FlexMoE,2024,g2,125,537250,0.92,0.47916666666666674,0.6013552808263252,0.105100,0.496255
FlexMoE,2024,g3,200,537250,0.725,0.5639121626057473,0.5616516689781565,0.511216,0.050436
FlexMoE,31337,g0,305,537250,0.780327868852459,0.7761541649187109,0.517076336289756,0.377003,0.140073
FlexMoE,31337,g1,295,537250,0.8,0.7691835403883908,0.509073944346411,0.420320,0.088754
FlexMoE,31337,g2,125,537250,0.92,0.47916666666666674,0.709344994941388,0.105100,0.604245
FlexMoE,31337,g3,200,537250,0.725,0.4767105627891214,0.556744634170027,0.511216,0.045529
FlexMoE,11,g0,305,537250,0.7770491803278688,0.7727689745802232,0.6149517312052855,0.377003,0.237949
FlexMoE,11,g1,295,537250,0.7966101694915254,0.7727092644975165,0.5339459938010974,0.420320,0.113626
FlexMoE,11,g2,125,537250,0.92,0.47916666666666674,0.7680842576543278,0.105100,0.662984
FlexMoE,11,g3,200,537250,0.725,0.46175761157510026,0.585406912494509,0.511216,0.074191
FlexMoE,22,g0,305,537250,0.7672131147540984,0.7589526786602293,0.5304976005572438,0.377003,0.153495
FlexMoE,22,g1,295,537250,0.7966101694915254,0.7645593271721137,0.5621723234148349,0.420320,0.141852
FlexMoE,22,g2,125,537250,0.92,0.47916666666666674,0.768325893730739,0.105100,0.663226
FlexMoE,22,g3,200,537250,0.695,0.5590307070267184,0.5612633431516588,0.511216,0.050047
FlexMoE,33,g0,305,537250,0.7573770491803279,0.7512027069790276,1.081115591967958,0.377003,0.704113
FlexMoE,33,g1,295,537250,0.8033898305084746,0.7761321162633106,0.6352037843132705,0.420320,0.214884
FlexMoE,33,g2,125,537250,0.92,0.47916666666666674,0.8443769512659078,0.105100,0.739277
FlexMoE,33,g3,200,537250,0.74,0.5526219035754495,0.695433917697519,0.511216,0.184218
FlexMoE,44,g0,305,537250,0.7508196721311475,0.7456428212879825,0.9138726189064468,0.377003,0.536870
FlexMoE,44,g1,295,537250,0.7932203389830509,0.7615973907338329,0.6386931137343901,0.420320,0.218373
FlexMoE,44,g2,125,537250,0.92,0.47916666666666674,0.5557469057961043,0.105100,0.450647
FlexMoE,44,g3,200,537250,0.735,0.5196878719666335,0.5716360293427715,0.511216,0.060420
FlexMoE,55,g0,305,537250,0.7704918032786885,0.7659992090779789,0.514738627551071,0.377003,0.137736
FlexMoE,55,g1,295,537250,0.8,0.7672715861467145,0.5209718201033203,0.420320,0.100652
FlexMoE,55,g2,125,537250,0.92,0.47916666666666674,0.6282326334295231,0.105100,0.523133
FlexMoE,55,g3,200,537250,0.735,0.4641968371235081,0.5523726581037045,0.511216,0.041157
REMIND,42,g0,305,53506,0.7770491803278688,0.7718370221047367,0.5363993992785552,0.377003,0.159396
REMIND,42,g1,295,53506,0.7966101694915254,0.7713315702626337,0.5637757201231641,0.420320,0.143456
REMIND,42,g2,125,53506,0.888,0.4700059101654847,0.4146619204817107,0.105100,0.309562
REMIND,42,g3,200,53506,0.705,0.4630780755314337,0.6837818403355778,0.511216,0.172566
REMIND,1337,g0,305,53506,0.7508196721311475,0.7452576706554551,0.5205677488971441,0.377003,0.143565
