method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Shared_Anchors_GDRO,22,g0,533,0.74109,0.59938,0.44875,0.27325,0.17549
Shared_Anchors_GDRO,22,g1,530,0.78491,0.60442,0.38568,0.24321,0.14247
Shared_Anchors_GDRO,22,g2,2338,0.75962,0.60318,0.43271,0.25257,0.18014
Shared_Anchors_GDRO,33,g0,533,0.77486,0.62191,0.51941,0.27325,0.24616
Shared_Anchors_GDRO,33,g1,530,0.80566,0.63395,0.48806,0.24321,0.24485
Shared_Anchors_GDRO,33,g2,2338,0.784,0.61266,0.51745,0.25257,0.26487
Shared_Anchors_GDRO,44,g0,533,0.77486,0.62491,0.40886,0.27325,0.13561
Shared_Anchors_GDRO,44,g1,530,0.81509,0.62367,0.34946,0.24321,0.10624
Shared_Anchors_GDRO,44,g2,2338,0.78358,0.61386,0.3937,0.25257,0.14112
Shared_Anchors_GDRO,55,g0,533,0.72045,0.60057,0.4806,0.27325,0.20735
Shared_Anchors_GDRO,55,g1,530,0.76038,0.59447,0.4096,0.24321,0.16638
Shared_Anchors_GDRO,55,g2,2338,0.71856,0.58332,0.46392,0.25257,0.21135
Ours_GDRO,42,g0,533,0.80675,0.62702,0.41893,0.27325,0.14568
Ours_GDRO,42,g1,530,0.77358,0.61204,0.43095,0.24321,0.18774
Ours_GDRO,42,g2,2338,0.73909,0.59835,0.47617,0.25257,0.2236
Ours_GDRO,1337,g0,533,0.82552,0.61994,0.42488,0.27325,0.15163
Ours_GDRO,1337,g1,530,0.79434,0.58817,0.36851,0.24321,0.1253
Ours_GDRO,1337,g2,2338,0.73867,0.59548,0.46611,0.25257,0.21354
Ours_GDRO,7,g0,533,0.8349,0.61453,0.41944,0.27325,0.14619
Ours_GDRO,7,g1,530,0.79057,0.59764,0.43896,0.24321,0.19574
Ours_GDRO,7,g2,2338,0.72669,0.59029,0.47828,0.25257,0.22571
Ours_GDRO,2024,g0,533,0.76173,0.59825,0.47579,0.27325,0.20254
Ours_GDRO,2024,g1,530,0.76415,0.59073,0.41929,0.24321,0.17608
Ours_GDRO,2024,g2,2338,0.72113,0.58889,0.50713,0.25257,0.25456
Ours_GDRO,31337,g0,533,0.79174,0.58975,0.69646,0.27325,0.42321
Ours_GDRO,31337,g1,530,0.81509,0.57599,0.51083,0.24321,0.26762
Ours_GDRO,31337,g2,2338,0.78529,0.62149,0.46034,0.25257,0.20777
Ours_GDRO,11,g0,533,0.81801,0.56646,0.60591,0.27325,0.33266
Ours_GDRO,11,g1,530,0.80943,0.61001,0.58701,0.24321,0.3438
Ours_GDRO,11,g2,2338,0.78571,0.61095,0.59196,0.25257,0.33939
Ours_GDRO,22,g0,533,0.7636,0.60301,0.46545,0.27325,0.1922
Ours_GDRO,22,g1,530,0.78679,0.59445,0.40745,0.24321,0.16424
Ours_GDRO,22,g2,2338,0.75406,0.60273,0.46147,0.25257,0.2089
Ours_GDRO,33,g0,533,0.77486,0.53962,0.62968,0.27325,0.35643
Ours_GDRO,33,g1,530,0.77736,0.57858,0.61439,0.24321,0.37117
Ours_GDRO,33,g2,2338,0.77417,0.61546,0.60302,0.25257,0.35045
Ours_GDRO,44,g0,533,0.73921,0.57388,0.61746,0.27325,0.3442
Ours_GDRO,44,g1,530,0.78491,0.56696,0.53364,0.24321,0.29043
