method,seed,group,auroc,accuracy
PerGroupOnly,11,g0,0.7875133262260128,0.6529080675422139
PerGroupOnly,11,g1,0.5343538625845496,0.7867924528301887
PerGroupOnly,11,g2,0.7076479539037195,0.7236954662104362
PerGroupOnly,31337,g0,0.7924440298507462,0.6679174484052532
PerGroupOnly,31337,g1,0.5364898540405839,0.6754716981132075
PerGroupOnly,31337,g2,0.706423125706156,0.7151411462788708
PerGroupOnly,2024,g0,0.785081289978678,0.6848030018761726
PerGroupOnly,2024,g1,0.6074522368577192,0.6943396226415094
PerGroupOnly,2024,g2,0.710109482623863,0.7228400342172797
PerGroupOnly,33,g0,0.7815664978678037,0.651031894934334
PerGroupOnly,33,g1,0.5633084134330129,0.7547169811320755
PerGroupOnly,33,g2,0.6995193687089044,0.7095808383233533
PerGroupOnly,22,g0,0.7838319562899786,0.6979362101313321
PerGroupOnly,22,g1,0.6060282425536965,0.8735849056603774
PerGroupOnly,22,g2,0.7025408754256723,0.743798118049615
PerGroupOnly,1337,g0,0.7608941897654584,0.6923076923076923
PerGroupOnly,1337,g1,0.6445947549543135,0.7
PerGroupOnly,1337,g2,0.7065458063979959,0.7587681779298546
PerGroupOnly,7,g0,0.7901285980810234,0.6585365853658537
PerGroupOnly,7,g1,0.5378742929472726,0.7226415094339622
PerGroupOnly,7,g2,0.7026101306549368,0.6813515825491874
PerGroupOnly,55,g0,0.7894456289978679,0.6322701688555347
PerGroupOnly,55,g1,0.5801194572999487,0.6886792452830188
PerGroupOnly,55,g2,0.7056078927216711,0.7715996578272027
AnchorsOnly,44,g0,0.7704890724946695,0.6679174484052532
AnchorsOnly,44,g1,0.6367627862821883,0.7245283018867924
AnchorsOnly,44,g2,0.7071156779988008,0.6843455945252352
AnchorsOnly,42,g0,0.769706156716418,0.6979362101313321
AnchorsOnly,42,g1,0.5851825481586962,0.7886792452830189
AnchorsOnly,42,g2,0.7058314881761536,0.7074422583404619
AnchorsOnly,11,g0,0.7737206823027719,0.7354596622889306
AnchorsOnly,11,g1,0.6269530477433646,0.720754716981132
AnchorsOnly,11,g2,0.7120031184640379,0.716852010265184
AnchorsOnly,7,g0,0.779617537313433,0.699812382739212
AnchorsOnly,7,g1,0.5671452869744077,0.7886792452830189
AnchorsOnly,7,g2,0.7116232040635011,0.7728828058169376
AnchorsOnly,33,g0,0.7510827558635395,0.7729831144465291
AnchorsOnly,33,g1,0.5269570032830979,0.8037735849056604
AnchorsOnly,33,g2,0.6982886043488326,0.6672369546621043
AnchorsOnly,1337,g0,0.7767024253731343,0.7129455909943715
AnchorsOnly,1337,g1,0.5996598235829279,0.8037735849056604
AnchorsOnly,1337,g2,0.6926571648492115,0.7023096663815227
AnchorsOnly,22,g0,0.7897787846481876,0.7298311444652908
AnchorsOnly,22,g1,0.5362525216565801,0.8471698113207548
AnchorsOnly,22,g2,0.7061282963015727,0.7356715141146278
AnchorsOnly,2024,g0,0.7753198294243071,0.699812382739212
AnchorsOnly,2024,g1,0.6276650448953759,0.8320754716981132
AnchorsOnly,2024,g2,0.7043138092948433,0.7305389221556886
AnchorsOnly,31337,g0,0.7709888059701493,0.6810506566604128
AnchorsOnly,31337,g1,0.6690795459040386,0.7377358490566037
AnchorsOnly,31337,g2,0.7111186302502884,0.712147134302823
AnchorsOnly,55,g0,0.7814665511727079,0.649155722326454
AnchorsOnly,55,g1,0.5720501562438195,0.8679245283018868
AnchorsOnly,55,g2,0.702333109737879,0.7164242942686057
Independent,55,g0,0.767573960554371,0.6360225140712945
Independent,55,g1,0.6464934140263439,0.6584905660377358
Independent,55,g2,0.7070019015507235,0.7292557741659538
Independent,7,g0,0.7899786780383795,0.6941838649155723
Independent,7,g1,0.5913136347454611,0.6641509433962264
Independent,7,g2,0.7065181043062903,0.7262617621899059
Independent,2024,g0,0.7796341950959488,0.7054409005628518
Independent,2024,g1,0.5904434160041138,0.690566037735849
Independent,2024,g2,0.7108277582873775,0.7018819503849444
Independent,22,g0,0.7788679371002132,0.6941838649155723
Independent,22,g1,0.5532217871128515,0.8283018867924529
Independent,22,g2,0.706316274781005,0.7553464499572284
Independent,1337,g0,0.7605776918976546,0.6679174484052532
Independent,1337,g1,0.5813852300146355,0.7018867924528301
Independent,1337,g2,0.7113837788423296,0.7301112061591104
Independent,33,g0,0.7569629530916844,0.6285178236397748
Independent,33,g1,0.6226810648312963,0.6886792452830188
Independent,33,g2,0.7034471295686192,0.7425149700598802
Independent,31337,g0,0.7897288113006397,0.6585365853658537
Independent,31337,g1,0.5669079545904038,0.7679245283018868
Independent,31337,g2,0.7118171187054416,0.7249786142001711
Independent,42,g0,0.771521855010661,0.6454033771106942
Independent,42,g1,0.5634666350223488,0.7018867924528301
Independent,42,g2,0.7005047716852962,0.6783575705731394
Independent,11,g0,0.7878131663113007,0.6416510318949343
Independent,11,g1,0.5879909813694078,0.6622641509433962
Independent,11,g2,0.7056494458592298,0.6642429426860564
Independent,44,g0,0.7749533582089552,0.6378986866791745
Independent,44,g1,0.6329654681381274,0.7415094339622641
Independent,44,g2,0.708967760701417,0.7292557741659538
Imputation_ERM,55,g0,0.7880130597014924,0.6397748592870544
Imputation_ERM,55,g1,0.5849847711720264,0.7509433962264151
Imputation_ERM,55,g2,0.7032888319017288,0.7514970059880239
Imputation_ERM,7,g0,0.7613106343283582,0.6660412757973734
Imputation_ERM,7,g1,0.6356156797595032,0.6660377358490566
Imputation_ERM,7,g2,0.7088668459387744,0.7412318220701454
Imputation_ERM,22,g0,0.7736707089552239,0.7091932457786116
Imputation_ERM,22,g1,0.5030259878960484,0.8641509433962264
Imputation_ERM,22,g2,0.7024597478713911,0.7818648417450813
Imputation_ERM,1337,g0,0.7780183901918976,0.6585365853658537
Imputation_ERM,1337,g1,0.5778647996519125,0.7924528301886793
Imputation_ERM,1337,g2,0.7075509965827491,0.7147134302822925
Imputation_ERM,33,g0,0.7841984275053304,0.6904315196998124
