method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
ours,42,g1,276228,209,0.6889951825141907,0.3587772189894416,0.7528296113014221,0.6846005644225315,0.06823
ours,42,g2,276228,37,0.6216216087341309,0.2756410256410256,1.0097557306289673,0.7652611750550569,0.24449
ours,42,g3,276228,128,0.65625,0.4099947225266918,0.8575443625450134,0.7791703665225083,0.07837
ours,42,g4,276228,14665,0.742107093334198,0.5939208692950935,0.6503393650054932,0.6238109850217399,0.02653
ours,42,g5,276228,14,0.7142857313156128,0.4142857142857142,1.0308910608291626,1.2804544360968635,-0.24956
ours,42,g6,276228,10579,0.7523395419120789,0.6964532398908576,0.6480425000190735,0.5871916648544888,0.06085
group_only,42,g1,276228,209,0.6889951825141907,0.3584770114942529,0.7320513725280762,0.0,0.73205
group_only,42,g2,276228,37,0.5945945978164673,0.2652218782249742,1.293087124824524,0.0,1.29309
group_only,42,g3,276228,128,0.6640625,0.4424309262751867,0.7908446788787842,0.0,0.79084
group_only,42,g4,276228,14665,0.7296283841133118,0.5785914102069786,0.6323328614234924,0.0,0.63233
group_only,42,g5,276228,14,0.5,0.2896825396825397,1.862709641456604,0.0,1.86271
group_only,42,g6,276228,10579,0.7326779365539551,0.6202536632852552,0.6149337887763977,0.0,0.61493
erm,7,g1,276228,209,0.7129186391830444,0.6170914920113405,0.6820985078811646,0.6846005644225315,-0.0025
erm,7,g2,276228,37,0.5945945978164673,0.2652218782249742,1.8218581676483157,0.7652611750550569,1.0566
erm,7,g3,276228,128,0.703125,0.570369249394673,0.9069973826408386,0.7791703665225083,0.12783
erm,7,g4,276228,14665,0.7491987943649292,0.6425309719779182,0.5858014822006226,0.6238109850217399,-0.03801
erm,7,g5,276228,14,0.6428571939468384,0.3666666666666666,2.385993480682373,1.2804544360968635,1.10554
erm,7,g6,276228,10579,0.7554588913917542,0.6982959320594635,0.5645248889923096,0.5871916648544888,-0.02267
groupdro,7,g1,276228,209,0.7272726893424988,0.5666417385208711,0.664272129535675,0.6846005644225315,-0.02033
groupdro,7,g2,276228,37,0.6486486792564392,0.2863485016648169,0.981125831604004,0.7652611750550569,0.21586
groupdro,7,g3,276228,128,0.7109375,0.5700733752620545,0.7436698079109192,0.7791703665225083,-0.0355
groupdro,7,g4,276228,14665,0.7646778225898743,0.6866990109118676,0.5444682836532593,0.6238109850217399,-0.07934
groupdro,7,g5,276228,14,0.7142857313156128,0.4142857142857142,1.241612195968628,1.2804544360968635,-0.03884
groupdro,7,g6,276228,10579,0.775498628616333,0.7117529057895603,0.5211829543113708,0.5871916648544888,-0.06601
align_only,7,g1,276228,209,0.7081339359283447,0.5316302181665619,0.6847670078277588,0.6846005644225315,0.00017
align_only,7,g2,276228,37,0.5945945978164673,0.2789115646258503,1.0508372783660889,0.7652611750550569,0.28558
align_only,7,g3,276228,128,0.71875,0.580096526007741,0.772534191608429,0.7791703665225083,-0.00664
align_only,7,g4,276228,14665,0.7640641331672668,0.668996225874664,0.5732125043869019,0.6238109850217399,-0.0506
align_only,7,g5,276228,14,0.7142857313156128,0.4142857142857142,1.1951525211334229,1.2804544360968635,-0.0853
align_only,7,g6,276228,10579,0.7710558772087097,0.7206527764778345,0.5611255168914795,0.5871916648544888,-0.02607
regret_only,7,g1,276228,209,0.7272726893424988,0.6083770596482462,0.6580508947372437,0.6846005644225315,-0.02655
regret_only,7,g2,276228,37,0.5945945978164673,0.2652218782249742,1.6327515840530396,0.7652611750550569,0.86749
regret_only,7,g3,276228,128,0.703125,0.5740780406034642,0.8308691382408142,0.7791703665225083,0.0517
regret_only,7,g4,276228,14665,0.7541084289550781,0.6533017812444273,0.5785608887672424,0.6238109850217399,-0.04525
regret_only,7,g5,276228,14,0.6428571939468384,0.3666666666666666,2.1563944816589355,1.2804544360968635,0.87594
regret_only,7,g6,276228,10579,0.7594290375709534,0.7037135680049799,0.5573045015335083,0.5871916648544888,-0.02989
ours,7,g1,276228,209,0.7081339359283447,0.4882895816242821,0.6838553547859192,0.6846005644225315,-0.00075
ours,7,g2,276228,37,0.5675675868988037,0.2679924242424242,1.0320205688476562,0.7652611750550569,0.26676
ours,7,g3,276228,128,0.75,0.6097361525255264,0.7316155433654785,0.7791703665225083,-0.04755
ours,7,g4,276228,14665,0.762563943862915,0.6586068611202559,0.5755836963653564,0.6238109850217399,-0.04823
