method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
FlexMoE,7,g1,530,35722,0.8113207547169812,0.5885093167701863,0.46792516983268306,0.239386,0.228539
FlexMoE,7,g2,2338,35722,0.7352437981180496,0.5958739107791847,0.4935913467319977,0.250111,0.243480
FlexMoE,2024,g0,533,35722,0.6848030018761726,0.5749117010368008,0.5448346018359455,0.278835,0.266000
FlexMoE,2024,g1,530,35722,0.8226415094339623,0.6308973447131342,0.39073381014249603,0.239386,0.151348
FlexMoE,2024,g2,2338,35722,0.7365269461077845,0.6011829862649535,0.4764247295186637,0.250111,0.226314
FlexMoE,31337,g0,533,35722,0.6904315196998124,0.5770105765392256,0.53781405833557,0.278835,0.258979
FlexMoE,31337,g1,530,35722,0.8150943396226416,0.6194871794871795,0.4183480833580471,0.239386,0.178962
FlexMoE,31337,g2,2338,35722,0.7570573139435415,0.6045242023383384,0.4603933598940772,0.250111,0.210282
FlexMoE,11,g0,533,35722,0.7223264540337712,0.5897441231537341,0.6386727088499695,0.278835,0.359838
FlexMoE,11,g1,530,35722,0.7924528301886793,0.6032502177700348,0.4977516156181974,0.239386,0.258366
FlexMoE,11,g2,2338,35722,0.786142001710864,0.6222505722790731,0.4964762784455408,0.250111,0.246365
FlexMoE,22,g0,533,35722,0.7317073170731707,0.6023487919529615,0.6183681513221495,0.278835,0.339533
FlexMoE,22,g1,530,35722,0.8075471698113208,0.608306283329469,0.5654608651855492,0.239386,0.326075
FlexMoE,22,g2,2338,35722,0.7574850299401198,0.6041924998036856,0.48141388469415713,0.250111,0.231303
FlexMoE,33,g0,533,35722,0.6810506566604128,0.5676178660049628,0.5714852298914084,0.278835,0.292650
FlexMoE,33,g1,530,35722,0.7622641509433963,0.5820921675135798,0.47891617597972025,0.239386,0.239530
FlexMoE,33,g2,2338,35722,0.7189905902480753,0.5860351062720264,0.48454664738063247,0.250111,0.234436
FlexMoE,44,g0,533,35722,0.6810506566604128,0.5698511260491437,0.6624114053644105,0.278835,0.383576
FlexMoE,44,g1,530,35722,0.7716981132075472,0.5781448371585132,0.5378625624975493,0.239386,0.298477
FlexMoE,44,g2,2338,35722,0.723267750213858,0.586990644611266,0.5222667148009639,0.250111,0.272156
FlexMoE,55,g0,533,35722,0.7373358348968105,0.6069321533923303,0.5111451370184236,0.278835,0.232310
FlexMoE,55,g1,530,35722,0.7716981132075472,0.6071693282123847,0.42263364620365546,0.239386,0.183248
FlexMoE,55,g2,2338,35722,0.7112917023096664,0.5840838921619916,0.5405706426091099,0.250111,0.290460
REMIND,42,g0,533,35714,0.7410881801125704,0.5908210947930573,0.7192026926004574,0.278835,0.440368
REMIND,42,g1,530,35714,0.8283018867924529,0.5929648665299474,0.6682966274465552,0.239386,0.428911
REMIND,42,g2,2338,35714,0.7544910179640718,0.6064351673720663,0.5301571307754624,0.250111,0.280046
REMIND,1337,g0,533,35714,0.6848030018761726,0.5681712962962964,0.7221549421794947,0.278835,0.443320
REMIND,1337,g1,530,35714,0.7867924528301887,0.5485961937064255,0.6465880912464603,0.239386,0.407202
REMIND,1337,g2,2338,35714,0.7249786142001711,0.5827571267317769,0.5736460405518823,0.250111,0.323535
