method,seed,group,n_params,n,acc,macro_f1,loss,R_star,excess_loss
FlexMoE,11,g5,231308,14,0.7142857313156128,0.4142857142857142,0.7722400426864624,0.897371,-0.125131
FlexMoE,11,g6,231308,10579,0.7514888048171997,0.6304264682068597,0.5722255110740662,0.587192,-0.014966
FlexMoE,22,g1,231308,209,0.679425835609436,0.4083505866114562,0.9711654782295228,0.684601,0.286564
FlexMoE,22,g2,231308,37,0.5945945978164673,0.28375,0.8714321255683899,0.70244,0.168992
FlexMoE,22,g3,231308,128,0.7421875,0.6260586278946132,0.6928084492683411,0.76738,-0.074572
FlexMoE,22,g4,231308,14665,0.7475622296333313,0.6098157101514666,0.6236500144004822,0.623811,-0.000161
FlexMoE,22,g5,231308,14,0.7142857313156128,0.4142857142857142,1.0053720474243164,0.897371,0.108001
FlexMoE,22,g6,231308,10579,0.7192550897598267,0.5303246474129915,0.6139062643051147,0.587192,0.026714
FlexMoE,33,g1,231308,209,0.7129186391830444,0.628069874325381,0.7863951921463013,0.684601,0.101794
FlexMoE,33,g2,231308,37,0.5945945978164673,0.2689473684210526,1.0979923009872437,0.70244,0.395552
FlexMoE,33,g3,231308,128,0.671875,0.4880021938845468,1.0872042179107666,0.76738,0.319824
FlexMoE,33,g4,231308,14665,0.7444255352020264,0.5649830655166084,0.6165205836296082,0.623811,-0.00729
FlexMoE,33,g5,231308,14,0.7142857313156128,0.4142857142857142,0.6741024851799011,0.897371,-0.223269
FlexMoE,33,g6,231308,10579,0.7626429796218872,0.6909002607355994,0.5679556727409363,0.587192,-0.019236
REMIND,0,g1,285572,209,0.703349232673645,0.5672346921934313,0.7447227835655212,0.684601,0.060122
REMIND,0,g2,285572,37,0.5675675868988037,0.2589473684210526,1.2347464561462402,0.70244,0.532306
REMIND,0,g3,285572,128,0.6875,0.6003448275862069,0.9029367566108704,0.76738,0.135557
REMIND,0,g4,285572,14665,0.7549267411231995,0.6598879307675354,0.6250938177108765,0.623811,0.001283
REMIND,0,g5,285572,14,0.7142857313156128,0.4142857142857142,1.064255952835083,0.897371,0.166885
REMIND,0,g6,285572,10579,0.7637772560119629,0.6933781174460042,0.5577322840690613,0.587192,-0.02946
REMIND,1,g1,285572,209,0.7368420958518982,0.6344827107538972,0.8033847808837891,0.684601,0.118784
REMIND,1,g2,285572,37,0.6486486792564392,0.2863485016648169,1.2785791158676147,0.70244,0.576139
REMIND,1,g3,285572,128,0.7578125,0.6696532518864534,0.8269091248512268,0.76738,0.059529
REMIND,1,g4,285572,14665,0.7496079206466675,0.6430629781631931,0.6361841559410095,0.623811,0.012373
REMIND,1,g5,285572,14,0.6428571939468384,0.3666666666666666,1.0590829849243164,0.897371,0.161712
REMIND,1,g6,285572,10579,0.7545136213302612,0.6890751097167347,0.5704938173294067,0.587192,-0.016698
REMIND,42,g1,285572,209,0.7368420958518982,0.6225912778904665,0.809782862663269,0.684601,0.125182
REMIND,42,g2,285572,37,0.6216216087341309,0.2756410256410256,1.338403820991516,0.70244,0.635964
REMIND,42,g3,285572,128,0.71875,0.6144961757609979,0.940903902053833,0.76738,0.173524
REMIND,42,g4,285572,14665,0.7498806715011597,0.6687324797397851,0.6243842244148254,0.623811,0.000573
REMIND,42,g5,285572,14,0.7142857313156128,0.4142857142857142,1.161897897720337,0.897371,0.264527
REMIND,42,g6,285572,10579,0.7568768262863159,0.6841109148408743,0.5671456456184387,0.587192,-0.020046
REMIND,1337,g1,285572,209,0.7129186391830444,0.6151295168095768,0.795902669429779,0.684601,0.111302
REMIND,1337,g2,285572,37,0.6486486792564392,0.5699019607843138,1.277784824371338,0.70244,0.575345
REMIND,1337,g3,285572,128,0.71875,0.5951042718422398,0.8773609399795532,0.76738,0.109981
REMIND,1337,g4,285572,14665,0.7444937229156494,0.6729658200712827,0.6149080395698547,0.623811,-0.008903
REMIND,1337,g5,285572,14,0.6428571939468384,0.3666666666666666,0.9632478356361388,0.897371,0.065877
REMIND,1337,g6,285572,10579,0.7582947015762329,0.7084194514502195,0.5730739235877991,0.587192,-0.014118
REMIND,7,g1,285572,209,0.7224879860877991,0.6148003410544266,0.7695837616920471,0.684601,0.084983
REMIND,7,g2,285572,37,0.6216216087341309,0.2756410256410256,1.1386613845825195,0.70244,0.436221
REMIND,7,g3,285572,128,0.6953125,0.6290986757385304,0.9393159747123718,0.76738,0.171936
REMIND,7,g4,285572,14665,0.7429253458976746,0.666922832423285,0.6244065165519714,0.623811,0.000596
REMIND,7,g5,285572,14,0.7142857313156128,0.4142857142857142,1.0257238149642944,0.897371,0.128353
REMIND,7,g6,285572,10579,0.7464788556098938,0.6846536418479191,0.580372154712677,0.587192,-0.00682
REMIND,2024,g1,285572,209,0.7224879860877991,0.5521212121212121,0.8823469877243042,0.684601,0.197746
REMIND,2024,g2,285572,37,0.5945945978164673,0.2652218782249742,1.3487536907196045,0.70244,0.646314
REMIND,2024,g3,285572,128,0.75,0.6331124421222548,0.8690658807754517,0.76738,0.101686
REMIND,2024,g4,285572,14665,0.7500170469284058,0.6508230743085572,0.6311673521995544,0.623811,0.007356
REMIND,2024,g5,285572,14,0.6428571939468384,0.3666666666666666,1.377988576889038,0.897371,0.480618
REMIND,2024,g6,285572,10579,0.7596181035041809,0.6944687750690505,0.563618004322052,0.587192,-0.023574
REMIND,31337,g1,285572,209,0.7272726893424988,0.6076086703993681,0.7870787382125854,0.684601,0.102478
REMIND,31337,g2,285572,37,0.6486486792564392,0.446078431372549,1.0037060976028442,0.70244,0.301266
REMIND,31337,g3,285572,128,0.734375,0.6421724765714535,0.9728755950927734,0.76738,0.205496
REMIND,31337,g4,285572,14665,0.7514490485191345,0.6604287676026311,0.6265223026275635,0.623811,0.002711
REMIND,31337,g5,285572,14,0.7142857313156128,0.4142857142857142,1.0868308544158936,0.897371,0.18946
REMIND,31337,g6,285572,10579,0.7552698850631714,0.7028312351885326,0.5630895495414734,0.587192,-0.024102
REMIND,11,g1,285572,209,0.684210479259491,0.5468855195894516,0.868561327457428,0.684601,0.18396
REMIND,11,g2,285572,37,0.6486486792564392,0.2918632075471698,1.301837921142578,0.70244,0.599398
REMIND,11,g3,285572,128,0.7421875,0.6295652876535229,0.9396949410438538,0.76738,0.172315
REMIND,11,g4,285572,14665,0.7491306066513062,0.6700477298340813,0.6202124357223511,0.623811,-0.003599
REMIND,11,g5,285572,14,0.6428571939468384,0.3666666666666666,0.9730547666549684,0.897371,0.075684
REMIND,11,g6,285572,10579,0.750449001789093,0.6933467607222066,0.5885679125785828,0.587192,0.001376
REMIND,22,g1,285572,209,0.7368420958518982,0.6099632801288227,0.8682863712310791,0.684601,0.183685
REMIND,22,g2,285572,37,0.5675675868988037,0.2589473684210526,1.2536097764968872,0.70244,0.55117
REMIND,22,g3,285572,128,0.71875,0.6067793994623263,0.8699944019317627,0.76738,0.102614
REMIND,22,g4,285572,14665,0.7412887811660767,0.6588021048958743,0.6461612582206726,0.623811,0.02235
REMIND,22,g5,285572,14,0.7142857313156128,0.4142857142857142,1.1235896348953247,0.897371,0.226219
REMIND,22,g6,285572,10579,0.7543246150016785,0.7024890426780904,0.5676882863044739,0.587192,-0.019504
REMIND,33,g1,285572,209,0.7177033424377441,0.6272605865777672,0.8522619009017944,0.684601,0.167661
REMIND,33,g2,285572,37,0.5405405759811401,0.2448979591836735,1.4673473834991455,0.70244,0.764907
REMIND,33,g3,285572,128,0.71875,0.6155827036204504,0.943790078163147,0.76738,0.17641
REMIND,33,g4,285572,14665,0.7411524057388306,0.6752394189337849,0.629218578338623,0.623811,0.005408
REMIND,33,g5,285572,14,0.7142857313156128,0.4142857142857142,0.8855358958244324,0.897371,-0.011835
REMIND,33,g6,285572,10579,0.7631155848503113,0.7042440602266485,0.5624221563339233,0.587192,-0.02477
