method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
AnchorsOnly,22,g0,533,0.78049,0.36066,0.53235,0.30654,0.22582
AnchorsOnly,22,g1,530,0.78302,0.31138,0.54244,0.26761,0.27483
AnchorsOnly,22,g2,2338,0.7947,0.39394,0.43106,0.25801,0.17305
AnchorsOnly,33,g0,533,0.77674,0.37696,0.45737,0.30654,0.15083
AnchorsOnly,33,g1,530,0.83019,0.45122,0.35761,0.26761,0.09
AnchorsOnly,33,g2,2338,0.76219,0.37808,0.46087,0.25801,0.20286
AnchorsOnly,44,g0,533,0.74484,0.37615,0.46005,0.30654,0.15351
AnchorsOnly,44,g1,530,0.79057,0.42487,0.41858,0.26761,0.15097
AnchorsOnly,44,g2,2338,0.75235,0.386,0.45436,0.25801,0.19635
AnchorsOnly,55,g0,533,0.74672,0.35407,0.61268,0.30654,0.30614
AnchorsOnly,55,g1,530,0.80566,0.31788,0.46188,0.26761,0.19427
AnchorsOnly,55,g2,2338,0.79641,0.40648,0.41751,0.25801,0.15949
Ours_GDRO,42,g0,533,0.7955,0.38418,0.58949,0.30654,0.28296
Ours_GDRO,42,g1,530,0.84151,0.3,0.51217,0.26761,0.24457
Ours_GDRO,42,g2,2338,0.8071,0.39463,0.4175,0.25801,0.15949
Ours_GDRO,1337,g0,533,0.77298,0.37306,0.43747,0.30654,0.13094
Ours_GDRO,1337,g1,530,0.81509,0.33784,0.35085,0.26761,0.08324
Ours_GDRO,1337,g2,2338,0.77032,0.38488,0.41228,0.25801,0.15427
Ours_GDRO,7,g0,533,0.78799,0.36158,0.51925,0.30654,0.21271
Ours_GDRO,7,g1,530,0.8566,0.28302,0.48867,0.26761,0.22106
Ours_GDRO,7,g2,2338,0.8071,0.4058,0.39075,0.25801,0.13274
Ours_GDRO,2024,g0,533,0.77861,0.40404,0.46601,0.30654,0.15948
Ours_GDRO,2024,g1,530,0.83962,0.43709,0.42713,0.26761,0.15952
Ours_GDRO,2024,g2,2338,0.79855,0.39693,0.55099,0.25801,0.29298
Ours_GDRO,31337,g0,533,0.84615,0.37879,0.3519,0.30654,0.04536
Ours_GDRO,31337,g1,530,0.80189,0.39306,0.38379,0.26761,0.11618
Ours_GDRO,31337,g2,2338,0.7592,0.3847,0.42695,0.25801,0.16894
Ours_GDRO,11,g0,533,0.78236,0.38298,0.49994,0.30654,0.1934
Ours_GDRO,11,g1,530,0.82264,0.31884,0.40752,0.26761,0.13991
Ours_GDRO,11,g2,2338,0.80539,0.42332,0.40271,0.25801,0.1447
Ours_GDRO,22,g0,533,0.80863,0.43333,0.5058,0.30654,0.19926
Ours_GDRO,22,g1,530,0.85283,0.39062,0.41556,0.26761,0.14795
Ours_GDRO,22,g2,2338,0.80068,0.39005,0.58615,0.25801,0.32813
Ours_GDRO,33,g0,533,0.76735,0.40952,0.40579,0.30654,0.09925
Ours_GDRO,33,g1,530,0.75094,0.40541,0.49601,0.26761,0.2284
Ours_GDRO,33,g2,2338,0.78828,0.39854,0.38565,0.25801,0.12764
Ours_GDRO,44,g0,533,0.78612,0.38043,0.55227,0.30654,0.24573
Ours_GDRO,44,g1,530,0.85094,0.28829,0.46575,0.26761,0.19814
Ours_GDRO,44,g2,2338,0.78743,0.38107,0.45108,0.25801,0.19307
Ours_GDRO,55,g0,533,0.76923,0.38191,0.5274,0.30654,0.22086
Ours_GDRO,55,g1,530,0.84528,0.33871,0.42361,0.26761,0.156
Ours_GDRO,55,g2,2338,0.79812,0.41872,0.4184,0.25801,0.16039
Ours_Regret,42,g0,533,0.79174,0.37989,0.58586,0.30654,0.27933
Ours_Regret,42,g1,530,0.84151,0.3,0.50076,0.26761,0.23316
Ours_Regret,42,g2,2338,0.80753,0.39678,0.4168,0.25801,0.15879
Ours_Regret,1337,g0,533,0.7955,0.35503,0.58095,0.30654,0.27442
Ours_Regret,1337,g1,530,0.85283,0.31579,0.48959,0.26761,0.22198
Ours_Regret,1337,g2,2338,0.7947,0.39698,0.46761,0.25801,0.2096
Ours_Regret,7,g0,533,0.78987,0.38462,0.55142,0.30654,0.24488
Ours_Regret,7,g1,530,0.8566,0.28302,0.50358,0.26761,0.23598
Ours_Regret,7,g2,2338,0.8195,0.42033,0.38415,0.25801,0.12614
Ours_Regret,2024,g0,533,0.78236,0.40816,0.46646,0.30654,0.15992
Ours_Regret,2024,g1,530,0.83585,0.43137,0.42621,0.26761,0.1586
Ours_Regret,2024,g2,2338,0.79726,0.39541,0.54877,0.25801,0.29076
Ours_Regret,31337,g0,533,0.84615,0.36923,0.35382,0.30654,0.04728
Ours_Regret,31337,g1,530,0.81321,0.4142,0.37613,0.26761,0.10852
Ours_Regret,31337,g2,2338,0.75962,0.38512,0.42616,0.25801,0.16815
Ours_Regret,11,g0,533,0.77486,0.375,0.48389,0.30654,0.17735
Ours_Regret,11,g1,530,0.82453,0.35862,0.39054,0.26761,0.12293
Ours_Regret,11,g2,2338,0.79641,0.40648,0.40079,0.25801,0.14278
Ours_Regret,22,g0,533,0.81051,0.44199,0.50876,0.30654,0.20222
Ours_Regret,22,g1,530,0.85283,0.39062,0.4141,0.26761,0.14649
Ours_Regret,22,g2,2338,0.79812,0.38701,0.58379,0.25801,0.32578
Ours_Regret,33,g0,533,0.76923,0.41706,0.40517,0.30654,0.09863
Ours_Regret,33,g1,530,0.75283,0.40724,0.49307,0.26761,0.22546
Ours_Regret,33,g2,2338,0.78657,0.39807,0.38711,0.25801,0.1291
Ours_Regret,44,g0,533,0.77298,0.35979,0.59307,0.30654,0.28654
Ours_Regret,44,g1,530,0.8566,0.34483,0.4673,0.26761,0.19969
Ours_Regret,44,g2,2338,0.77973,0.37877,0.45848,0.25801,0.20047
Ours_Regret,55,g0,533,0.77298,0.36649,0.56476,0.30654,0.25822
Ours_Regret,55,g1,530,0.84151,0.36364,0.47009,0.26761,0.20248
Ours_Regret,55,g2,2338,0.79127,0.40196,0.42357,0.25801,0.16555
