method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
AnchorsOnly,7,g1,530,0.80943,0.29371,0.50263,0.28288,0.21975
AnchorsOnly,7,g2,2338,0.75064,0.35294,0.46123,0.26518,0.19605
AnchorsOnly,2024,g0,533,0.75797,0.36453,0.59838,0.3002,0.29818
AnchorsOnly,2024,g1,530,0.78113,0.31765,0.49228,0.28288,0.2094
AnchorsOnly,2024,g2,2338,0.75107,0.35189,0.45831,0.26518,0.19314
AnchorsOnly,31337,g0,533,0.78612,0.41237,0.40869,0.3002,0.1085
AnchorsOnly,31337,g1,530,0.72642,0.3379,0.4802,0.28288,0.19732
AnchorsOnly,31337,g2,2338,0.75364,0.37931,0.44088,0.26518,0.17571
AnchorsOnly,11,g0,533,0.72045,0.35498,0.54997,0.3002,0.24977
AnchorsOnly,11,g1,530,0.7566,0.33161,0.44577,0.28288,0.16289
AnchorsOnly,11,g2,2338,0.73824,0.34475,0.44935,0.26518,0.18418
AnchorsOnly,22,g0,533,0.72795,0.38298,0.56433,0.3002,0.26414
AnchorsOnly,22,g1,530,0.80755,0.31081,0.40369,0.28288,0.12081
AnchorsOnly,22,g2,2338,0.72926,0.36637,0.45815,0.26518,0.19297
AnchorsOnly,33,g0,533,0.74859,0.35577,0.52289,0.3002,0.22269
AnchorsOnly,33,g1,530,0.8,0.28378,0.43106,0.28288,0.14818
AnchorsOnly,33,g2,2338,0.74722,0.36108,0.45585,0.26518,0.19067
AnchorsOnly,44,g0,533,0.7167,0.36287,0.55014,0.3002,0.24994
AnchorsOnly,44,g1,530,0.75283,0.33503,0.44729,0.28288,0.16441
AnchorsOnly,44,g2,2338,0.73524,0.35454,0.45241,0.26518,0.18723
AnchorsOnly,55,g0,533,0.73358,0.36036,0.54923,0.3002,0.24904
AnchorsOnly,55,g1,530,0.80943,0.36478,0.4689,0.28288,0.18602
AnchorsOnly,55,g2,2338,0.74551,0.35115,0.42531,0.26518,0.16013
Ours_GDRO,42,g0,533,0.75047,0.3871,0.42323,0.3002,0.12303
Ours_GDRO,42,g1,530,0.78868,0.38462,0.39989,0.28288,0.11701
Ours_GDRO,42,g2,2338,0.77417,0.38173,0.41665,0.26518,0.15148
Ours_GDRO,1337,g0,533,0.80488,0.35802,0.41971,0.3002,0.11951
Ours_GDRO,1337,g1,530,0.81887,0.34247,0.36217,0.28288,0.07929
Ours_GDRO,1337,g2,2338,0.74979,0.37029,0.44329,0.26518,0.17811
Ours_GDRO,7,g0,533,0.78799,0.38919,0.58696,0.3002,0.28677
Ours_GDRO,7,g1,530,0.82642,0.25806,0.51039,0.28288,0.22752
Ours_GDRO,7,g2,2338,0.75834,0.36014,0.43829,0.26518,0.17311
Ours_GDRO,2024,g0,533,0.82739,0.44578,0.47652,0.3002,0.17632
Ours_GDRO,2024,g1,530,0.80566,0.34395,0.48278,0.28288,0.1999
